,0
56,"com/article/defunct-matanuska-creamery-set-liquidation-auctionYes, Hawaii history like all of history leaves huge gray areas"
57,"Tigers are orange and black, glue is sticky!!

Harry - we're just making completely irrelevant statements right?"
58,"

squirrel!!!!!My son woke me up one morning to point out what looked like a glowing, light green orb swirling around the entrance to our master bath"
59,The white Americans who voted for Obama?
60,Yet you still allege that whites in general need to be reminded that black lives matter
61,""" --- that whites need to be reminded that it matters whether a black person lives or dies"
62,"”
To some extent this is true, but there's an impression (a correct one, in my opinion) that people speaking about white nationalism want America to be predominantly white, as if whites own America"
63,"It only took  minutes for you open that one up
I'm gonna go harass a native black girl now"
64,"

Omari has long represented the black community as an outspoken activist and Seattle School Board candidate"
65,"that he is incompetent & has risen to this office via the rich, white male card(s)"
66,"If they are going to go after terrorists, how about the NRA and the white extremists who populate America?Funny how Ms. Leitch has no regrets"
67,"And if so, is that regardless of how they identify sexually?It is possible that the Democrats have put themselves in a position where it is difficult for a white candidate to get the base to vote"
68,"I think you may have ""mis-written"" reference to white-supremicists and anti-white supremacists"
69,Nobody is bothered by black wealth as long as it is honestly earned
70,"
""the black-clad left-wing militants""

Read more under ""Fringe Groups Revel as Protests Turn Violent"""
71,"""Perhaps white men are more of a problem than burkas"
72,In twenty years these will be white elephants and the companies behind them will be gone or transformed beyond recognition
73,That's a bold move by the white house
74,"

Besides the obviously dreary appeal of black scarves and long brown skirts, the Dragon comment was that it was made of cheap fabric"
75," Greetings from the young European man with the white shirt :-)""
The Trudeau government has green-lighted the sale of one of British Columbia’s biggest retirement home chains to a Beijing-based insurance titan with a murky ownership structure in a deal that gives China a foothold in Canada’s health-care sector"
76,"Mr Trudeaus to do list:
-
A) Onerous taxation upon the educated classes increased - check
B) Apologizes offered to any and all  identified and affronted minority groups - check
C)  Pretend to initiate pipeline extension - check
D) Massively increase spending without attempt to balance the budget - check 
E) Begin to rename anything named after any old white Anglo Saxon male - check
F) Insult the Pope - check
G) Avoid questioning that requires any non scripted responses and actual thought  - check
H) Take as many selfies as possible - check
I) Run shirtless as often as possible in front of the PMO photographers - check
J) Legalize weed in an attempt to thwart prosecution of the PM office - check
K) Run around behind Sophies back - check 
-
who says Trudeau hasn't done anything during his time in office?
-
-
(Oh - Anything of value?"
77,"It's a white supremacist past, present, and--unless we do something to change it--future"
78,Perhaps she should do it the liberal way and blame it all on middle aged white men and see how that works our for her
79,"The phases of South Africa's democracy transition:

 Referendum result - Some right wing whites disillusioned
's Mbeki destroys Zim - Many more whites disillusioned
 No confidence motions - Some black people disillusioned
 December ANC conference -Many more black people disillusioned (including Cyril)
 Election results - Many more people disillusioned (including Max du Preez)
 The good faithful ANC voters hungry and"
80,"If its a brown bear, you'll be dead before that thing has any effect"
81,does this mean the Rolling Stones cannot sing the blues because they are white?My brother used to go to things like the WTO protests
82,"""Fight"" the violent, black clad and masked, neo-fascists?
https://beta"
83,"com/news/world/black-clad-anarchists-storm-berkeley-rally-assault-five-people/article/Another tax, maybe Clair has been smoking to much of the green stuff"
84,""" And if you're willing to broaden your mind past a one sentence definition, you can consult Wikipedia for how the system was administered by a white minority over a black majority in that country"
85,"So you are the only one that can spot wolverines, moose and black bears?"
86,"I can't help it, put a white sock on that hand and call it Lambchop:-)Steve, I eat a all Paleo diet and the link you provide is very not Paleo friendly!"
87,"Kellyanne, you need to take the white hair guy fired from CNN and your horrible attitude towards others that don't agree with you and crawl back under the rock and stay there!starts am here"
88,First black man
89,"How about the tolerance shown to us poor white folk who have not done anything charged or the behaviour of the populations in those countries to themselves where the leavers of those countries come here and blame and accuse?
Please stop talking about the past and try to make things better"
90,"


It also really comes together once you understand Kobach is a white supremacist, and because of that, shouldn't be anywhere near such an effort as this, so, naturally, Trump put him in charge of it"
91,"org/hatewatch////kris-kobach-legal-counsel-hate-group-and-architect-unconstitutional-anti-immigrant-lawsAre Russia ties the red ones that hang down clear below his belt?As a group white people certainly aren't oppressed on the United States, but that doesn't mean that individuals don't necessarily feel that way"
92,"Jacques Nisbet Perhaps if you care to do your research and make race an issue, the Acting CEO of ASA is a white male"
93,"
It is never surprising when males smugly dismiss issues of prejudice raised by females, any more than it is when white folks dismiss issues raised by black folks"
94,"

I live in a deep blue area and have very limited contacts with Trump supporters so I try to learn about them from their comments, here and particularly on articles in the Wall Street Journal"
95,"

So you believe that anyone who resides in the country for  years should get citizenship automatically?

Or do you believe that only people of the white race can have citizenship?

Please specify"
96,", not just Planned Parenthood, % are black women"
97,"

On the other hand, Bill Clinton told the entire nation ""I did not have sex with that woman"" but was proven a liar with forensic evidence on a blue dress"
98,"white male) who is fully qualified for a position yet is rejected because of his skin-colour, religion, or land of origin, etc"
99,Those white farmers in the Imperial Valley in California lost millions of dollars because they did not have enough people to pick crops
100,The fact the the media is in a frenzy to shut down and demonize anyone who dares even mention the name Seth Rich should seem fishy to anyone paying attention if not a huge red flag
101,"As an old black man, I still get followed when I go shopping at an unfamiliar store"
102,white people want answers and natives want to lay blame
103,"Nobody's disputing ""border control,"" but we don't want to see it used as a hammer nor as an implement of kooky uncivil anti-cosmopolitan anti-pluralistic white supremacy imposed upon us in a sordid fashion"
104,so that he can help his white friends to run their unauthentic business
105,"the dip net fishery is very concentrated and there seems to always be one or more
brown shirt DPS reps in the area enforcing the ban"
106,") then ping the rocking boat waaayyy back in the ocean (which probably moved so they don't get shot at) to ensure that whoever pushed the flashing red button that has the word ""SHOOT"" written on it (you don't say ""fire"" on a ship unless theres a"
107,"Geez, some poster(mtf)said I'm a white Supremist or I should be one!"
108,"

What else you want from me, Blood?

it's a point, being non-white and understanding how a White man could take all the racist cr@p of white racism"
109,"Wente writes (apparently without irony):
""Next in line is Christopher Columbus, the heroic explorer of my childhood, who sailed the ocean blue and opened the west to conquest, disease and genocide"
110,"did you know you can expand the white box (the one with the article title or ""in reply to:"" in it) by clicking on the little down arrow?"
111,Maybe they'd rather live where they don't have to lock their doors or see pink stucco McMansions
112,NOT a black and white issue
113,"com, a reflection of the life of cranky white religious conservatives who whine about a wall around the Clinton's home because they have nothing credible to bring into the political conversation"
114,We are not Coloured because we are white as some black people and American might want to say
115,"
It is like saying that the Arabs or Italians or Mexicans are black just coz they are not white"
116,"html

The largest slave trade in the history of the world was created by white Christian Europeans"
117,"Nobody's was showering him with red rose petals like the newest guy, our guy"
118,"


The current exploitation of fear of immigrants is co-ordinated by weak and insecure, fascist, white supremacist, neoNazis in the White House"
119,"""Nice to see a good number of candidates being chosen on merit and excellence…""

And, gosh, they all just happen to be super rich, old white guys"
120,"In any case, you continue to speak in black and white terms with big capitals"
121,"
Was this intended to be a humorous black comedy?""alt-right?"
122,"

It was first used by Richard Spencer to describe his like-minded far-right extremists and white supremacists"
123,"

The term originated with his white nationalist magazine/blog Alternative Right, nicknamed ""AltRight"""
124,"And if you thought Ayala's responses appeared 'aggravated' in this video (even though she was polite to a fault), how would the police have interpreted this black man's responses?"
125,Kids have no place to play other than in the woods near a salmon-spawning stream during the time of year when brown bears with cubs are known to pass through the area?
126,and being something other than a white male will help you win the prize
127,"

The most ignorant term I've ever heard is ""reverse racism"", describing an act of racism committed against white people"
128,"do you know that in Uganda they still wear the UK white wigs, in court?"
129,The MD AG believed the two white arresting officers formed the basis of the conspiracy to violate Mr. Gray's Civil Rights
130,Do the maintenance or look in the yellow pages for a chimney sweep
131,Fault is not always black and white
132,Typical - black vehicle involved
133,"""Andrew Anglin, , who created The Daily Stormer in , has been a key figure in stoking the resurgent white nationalist movement"
134,"gary, the first thing white folks need to do is be honest with themselves about American history"
135,"AT&T/Direct TV were caught red handed lying, bait and switch to their customers"
136,Please show me where they are protesting cops killing white people
137,"He probably felt like he was personally included in the racist comments that have since been deleted that ""thehighway"" posted lumping all black Americans in with these asshats"
138,(Wasn't he white also?)It's called out of co bureaucrats building a monument to themselves
139,"
People need to send copies of the red guards article to the White House"
140,He does seem to love the lime-light
141,Even the white supremacists themselves are happy with Trump's statements yesterday
142,"In some early role of Western-actor, Sam Elliot, Sam was asked who gave him the black eye"
143,How long have funds been going into these accounts without red flags being raised?
144,"I'm in this business, and I know that perpetrators of white collar fraud, once brought to justice, very rarely do this again"
145,How be we stimulate job growth without resorting to massive white elephant projects like Site-C?
146,", not an election year when a major candidate was peddling racism in order to get elected, the outcome might have been different, for example, it could have been a learning/teaching moment when Schurtz's students and the local African-American community taught HER something about white people donning afros and painting their skin black"
147,"While open to the possibility of missing something important in the details of her lesson, all this really proves is that white kids watch a lot of white TV"
148,"
Not denying that white privilege exists, just that there's no logical sequence in this half-explained article"
149,"

I am told that good black market marijuana is about / to / the cost of medical marijuana today"
150,"

This will not change and the black market will thrive"
151,"So you're not going to share your ""actual facts"" that disproves human begins who are black matter?

Certainly such ""actual facts"" would be groundbreaking - are you straight to various journals to get your finding published, is that why you're not sharing?"
152,"

Health care is a black hole sucking in money"
153,didn't a black president hand power over to a white guy not too long ago
154,"

The theory focuses on your basic blue chip dividend growth stocks"
155,"Ms. Patkotak's article is typical of the left's attack on any thing American, anything Trump related, or any historical issue white related"
156,"a staffing call for a case on reverse discrimination in college admissions, likely the first step in a federal assault on affirmative action and a determination to hunt for colleges and universities that discriminate against white applicants"
157,Obama campaigned on vilifying white people?
158,tesla and yellow pages
159,"I suspect because there's a lot MORE 'history' to this that's by no means 'ancient', and a lot of guilty white cops, judges and DAs would prefer it doesn't get spot-lighted"
160,'especially thin-skinned white ones
161,"Why, especially as an educated white person in the U"
162,"

It's surprising that a state who reveled in the 's 'free love' and embraces a mostly libertarian approach to sexuality, assumes black athletes are guilt of charges"
163,"

This puritan interest in the behavior of black athletes looks more like unconscious racism to me"
164,we can thank the millions of nd amendment red necks and the NRA
165,I wonder if he will equip them with brown shirtsGeorge W
166,""" Trump has never studied anything, except his own ugly, orange reflection in the mirror"
167,The Ku Klux Klan tries to recruit future white supremacists in high schools and at high school football games
168,"
Racist comments about Jews, Mexicans and Muslims were written atop the Confederate flag, also attacking Black Lives Matter, recent NFL take-a-knee protests, and black culture"
169,"
They were left on cars during the game and criticized any removal of Confederate flags and Confederate monuments as a sign that people do not ""respect the white majority of America,"" providing evidence that the historic Confederate symbols do indeed fuel white supremacy"
170,"

Now, we could go sarcastic, with a presser in which we acknowledge that Bigfoot is a member of your Cabinet who has counseled predator control and that you are really the descendant of Anastasia, who survived the execution of the czar, s family, proving that not only can you see Russia but that you’re actually from there, and that you’ve got all of Imelda Marcos’ shoes plus Michael Jackson’s white glove"
171,Clearly what is needed is a global green one world liberal socialist government
172,"If the Confederacy had actually won the Civil War, what do you think would have happened to the black slaves who couldn't escape?

I think that life would have continued, and very sadly, the slaves would be owned as they were"
173,"That's awesome, because RTD needs a place where all the orange flagger's can live along the path of line A, the Train to the Plane"
174,"

And this is selective use of statistics - immigrants tend to end up in the cities along the coats which have done the best - whereas native born includes those areas in decline where few immigrants settle, and native born includes the black population and aboriginals who have high unemployment rates"
175,"Shouting ""is it because I'm black!"
176,"Is it because I'm black?!"" No idiot"
177,of white guilt and naivete
178,"A - mph time is only of interest to red light drag racers and is far from being considered """
179,That one woman in white could be from any and all of them
180,"

The Moron-In-Chief can take one small comfort - prison orange jumpsuits will match his spray-on tan and hair dye"
181,"""In his letter, he lays out the various things Ottawa has already done in attempts to cool the red-hot market, among them changes to mortgage insurance rules and tax changes"
182,First off this wasn't a white on black shooting
183,"com////warning-weak-in-lodo-attacks/

The story was buried because:

) It went against the liberal narrative that only white people are racists"
184,"""BC's green economy will do just fine"
185,Someone was selling pink coat hangers in the crowd today
186,"What needs to be discussed, in fact, what has been left, too long, undiscussed, is what we will do about the demise of the red spot on Jupiter"
187,"""But let a white cop shoot a black criminal, and all hell is to pay"
188,Most blue states are gun free or at least the large population centres in those states
189,"Those pointy white hats he wears in his free time constrict the forehead, causes long term memory loss"
190,"""

FTA didn't give the city the green light to build until "
191,"The cops are being taught to fear black suspects, so something is being institutionalized"
192,How does all lives matter say that black lives don't matter?
193,"Jesse Jackson said he would do the same thing at the sight of young, black males approaching him, that is, he would cross the street to avoid them"
194,"tallish, nice-looking white dude with carefully trimmed beard"
195,"Americans had re-education camps for Nazis because Nazism, like white nationalism, is a cult ideology"
196,You win the red lantern prize for the day!
197,"""White people do it when black people call out racism"
198," Not content with embracing or learning from the #BlackLivesMatter campaign which attempted to excavate systemic global race and class privilege, some white people whinged and responded with #NotAllWhites""

You mean like some muslims respond with #NotAllMuslims (after a terror attack)?"
199,"It's sadly typical of climate change advocates to ignore any Canada-specific accounting of the costs and benefits of climate change, gloss over the uncertainties of large forecast models, fail to compare the relative cost of mitigation versus adaptation, and forget to even attempt to assess the economic damage we will suffer from green energy plans"
200,"The Chicago Police have been acting black hat way, way longer than Rahm Emanual has been in office"
201,"
Meanwhile, we had the candidacies of McCain (who allowed Bush falsely to accuse him of fathering a black child yet embraced him weeks later;"
202,You can say it's dishonest til you're blue in the face and it won;t make what I said dishonest
203,Being green gives one the tendency to get so mad that you'd explode into a huge hulking monster with a flat forehead and broad shoulders
204,"The fact does remain though, given the state of historical migration from Africa to North America since the slave trade was abolished and enforced- by white Brits pressed into service in the British Royal Navy in its own form of slavery no less, that if you're speaking to a black person in North America today, theres as good a chance that you're speaking to somebody whos descendants took and sold slaves as there is their descendants were sold as slaves"
205,The only person who would think the distribution ratio of enslavement has any logical connection to the consequences for a nation that refuses to fully acknowledge and account for its sins would be a white supremacist trying to make the irrational into reason
206,"Ask any black person if they support the BLM movement, because if they do then they support reparations"
207,schools where they will acquire the habits and modes of thought of white men
208,I've been waiting for the disdain at the white men to start flowing
209,">>To the lady in the red dress, ,

That wouldn't be Sophie?In his talk at Notre Dame, Chaput, who is known for his conservative political views and his firm stances on doctrine, said both candidates were obviously flawed -- though he did express admiration for Trump's ""gift for twisting the knife in America's leadership elite and their spirit of entitlement, embodied in the person of Hillary Clinton"
210,Another good reason to continue buying Weed from the so called black market!
211,"They are nothing but snowflake therapy and massagers of the little pink pussycats crowd

Trump will continue to run this country whether the rapidly going extinct dems like it or not"
212,"

The claim Trump is a white supremacist when a third of his family is Jewish is pure insanity"
213,I hate the LEDs with their white light
214,"
In the late nineteenth century and early twentieth century an English 
three Canadians was a member of the white supremacist organization Anglo-Saxon, WASP equivalent to the United States (""White Anglo-Saxon Protestants"")"
215,"Cassie, I had just been noticing your pink hat"
216,"But what is the pink object in your hands?These born-on-rd-base guys seem not to realize that Russia doesn't adore them, that Putin was using the Trumpster fools for his own, very anti-American ends"
217,"

I'm no fan of Russia influencing our elections but I am outraged that Trumps volunteered to help Vlad carry out black ops against Americans he scapegoated as the reason for our worthy, American values, bipartisan policy"
218,"

""east side officers are going to have black stops, the west side Hispanic, the south west - 
white"
219,I would like for Trump to pass an executive order that any progressive red calling Majority Americans racist would be accused of a hate crime and justly punished!
220,"The lawyers will be busy too, as the country becomes more and more militarized by Putrumpski and his brown shirts"
221,This has me seeing red!
222,A white cop ki!!s a black person and everyone protest
223,"so sort of missed the ""angry black man"" deal"
224,LOL you are just one of many 'covert black OPS' wannabe's
225,How many registered Democratic black voters did not show up to vote for Clinton in ?
226,"So many voters are like you - unable to comprehend anything more complicated than a slogan on a bright red hat!Yes, I read the article, s I have read all the rest on this issue published by the RG, an issue the RG has twice published my op-ed letters on"
227,"
But in Trump's mind there are many sides that he is trying to unite:
The KKK side, the Nazi side, Southern Nationalists side, the 'poorly educated' unemployable white guy side, etc"
228,do you see people running stills or transporting whiskey these days?Apparently they value diversity unless you are a white southerner who values southern history
229,"And the law and order right will not accept the terrorism and mayhem caused by white right wing supremacists, white radical Christians, and white right wing militias"
230,"

But, you shoot your document against, say, black and the app will attempt to crop it for you"
231,"Photo will capture the entire scene, Whiteboard will attempt to white out the background and assumes you are shooting hard edges, Document does the cropping, and I think Business Card may attempt to scan the type, but I have never tried it"
232,"This kettle had just finished calling the pot black!

Let him (or her) without guilt, cast the first stone"
233,"If I remember correctly, wasn't it John Kerry who made the comments about red lines?"
234,""" 

Lisa Bloom also says white men are at the top of the list for gaining foreign visas to have sex with children"
235,"

Lisa Bloom also adds the most prolific serial killers in this country (America) are white men"
236,Glad to know that you believe the over % of white women who voted for President-Elect Trump are stupid
237,"Sad here that we have ads that are the opposite - showing the white person as the dimwit, etc - and they're totally acceptable"
238,"

One question, Molefe isn't doing his brown-nosing without reward"
239,"For the trolls who now affect innocence of Bannon's white supremacist affinities:

""Here's Evidence Steve Bannon Joined a Facebook Group That Posts Racist Rants and Obama Death Threats""

http://www"
240,You put hundreds of millions of dollars being spent on the black market and do not think the holders of commercial growing licenses will not go to great lengths to protect their interests?
241,"Think Again!American Indian and Alaska Native need to go after the newly appointed Interior Secretary, who touts himself on riding a horse on his first day of work, and make him look after tribal best interest through the eyes of tribal people and not white man eyes"
242,black lies matter is a racist hate group and promotes violence against the police and hatred towards mainstream AmericaSo uhh here's some obvious ideas to improve downtown at night:
243,"

Do you honestly beleive that black people can really live a ""privileged lifestyle"" if things like this happen all the time?

Semper forget about it"
244,By the way- you know who invented what used to be called the blue ticket in Alaska?
245,"Also, there are advisory committees, blue ribbon commissions, not to mention contractors providing consulting services and training for government employees and telecommunications, information technology infrastructure and support"
246,a black man in the USA is EIGHTEEN time more likely to murder a policeman than i policeman is to kill a black man for any reason
247,Trump actively courted the support of white supremacists and they helped elect him
248,"pdfTell that the roaming group of black clad, faces covered militant style, counter protestors-some of whom got to meet personally with the police!Apparently you read the letter with your mind already made up"
249,"Tolerance, to white nationalists, is a sign of weakness"
250,This action by our self righteous Federal government is prejudice against a particular group in our society - white male Canadians
251,"
If we want to build our economy, shouldn't meritocracy be the first and most important factor in employing someone?

""Women, Indigenous students, people with disabilities, and new immigrants will be eligible for up to % subsidy"" and others receive % 

So I guess able bodied white male Canadians are worth % less to employers no matter how accomplished they are"
252,"""Phillip Smith, head of the National African American Gun Association, said police need additional training to remind them that Second Amendment rights apply to black gun owners as much as anyone else"
253,And today more black Americans will murder their fellow citizens than were killed in Montreal
254,Is John Joe Sark a man of his word when he states “I don’t need any more trinkets from the white man
255,"”?
If so we Canadians should be expecting him to renounce any further government trinkets in the form officially minted metals and paper as cultural appropriation of the ""white man""the black market will prosper as most pot aficionados grow their own or buy from a trusted buddy"
256,"-something elderly people, interpreters for the US military, and little children were all detained at the airport despite having the proper paperwork and in many cases green cards and denied due process, no biggie"
257,"HehehehNah, far better to retain your own gray matter and stay out of either"
258,We never were a white Christian country
259,"

Trump will move on to set up a new media empire, and he can get back to doing a real job, with black and white decisions, and outcomes"
260,"Um, the white house itself has called it a Muslim ban multiple times"
261,Just present some scientific data & skip the red herring
262,"You've hit on the one thing that has truly irritated me about the white Catholic vote, and that's the hiding the white part behind the antiabortion mantra"
263,One of them was recently caught on film screaming the word 'coon' at a black man who was speaking his mind at a rally for free speech
264,"To think Black lives matter, where are they when it happens to black on black?"
265,"Since young black men are way overrepresented in shootings (mostly of other young black men), it shouldn't come as a surprise that police officers view them with heightened suspicion"
266,"After eight years of Obama's polarizing racism, is it any wonder the white supremacists are pushing back?"
267,"

So you think leftist racism and violence are OK because of old crusty dead white men"
268,"To brand Caucasians and white people as colonialists, who've supported the genocide of aboriginals for hundreds of years is not only offensive, wrong but the best journalist example of reverse racism to date"
269,"
Her comments were blatently racist and warrant her being reprimanded from any position of authority, due to her conscious bias towards white people"
270,When I read article I found it to be racist bias towards white people
271,"""anti-immigration, white fear of losing power, anger, hatred of government and frankly a poorly educated, violent and authoritarian loving base"""
272," This took place on his watch!!!
Another red line crossed and nothing being done"
273,I am also disgusted by people who will turn a blind eye to the obvious corruption in the white house and with donors to the Clinton Crime Family Foundation
274,"
I am a middle aged white male"
275," 

I am sorry if you are a white male and you could not take advantage, sorry you missed out?

Why would we need protections?
From women and the war on men?By your argument a citizen of color is held to the same standard as a public servant in a position of power, armed and behind the thin blue line?Even at $ a barrel, Alaska will still be bleeding red ink"
276,I've been charged by a black bear before with my four year old daughter while hiking and I didn't need to shoot it to survive the encounter
277,This argument is a red herring
278,Obama voters switch to Trump - were they all really just rabid evangelicals who voted for the black dude twice then abandoned him because HILARY stole the nomination?
279,"Personally, I'm very wide awake at this time -- spotting things that shouldn't be falling nor rising --except that the yellow-haired woodpecker on Pennsylvania on Pennsylvania Ave"
280,"You do understand the Republicans are the ones looking to ban marijuana, a red white and blue joint would better represent the lefts stance"
281,"""A white person can take a shower, put on a clean shirt, and go virtually anywhere without having to worry about being harassed or worse"
282,)You do sound racist when you put white in quotation marks but not Hispanic or black
283,"Sorry to break it to you, buttercup, but the white nationalists created the name years ago"
284,"Those states are literally on the verge of bankruptcy, unlike the red states, so the Dems must be doing something horribly wrong"
285,The same rap stars that go to the white house as guest
286,I think Trump looked out at that sea of brown shirts and lost himself in the moment
287,And there were white players who did decline the invitation
288,"""Flaherty (in all the pictures I was able to see) had brown hair that had gone a dry 'steely' colour, that is what happens as we age"
289,"

He may indeed have tinted it

However, it wasn't the rich, moist chocolate brown you see in an  year old"
290,and in a green field operation!
291,if you offer right to die services but don't like the idea of serving black people then you shouldn't offer it at all
292,Sure doing so will be more cost efficient--yet doesn't street-level commuter trains/rail have to stop at every traffic signaled intersection on a red light?
293,"Paul, how do you know anything about my knowledge of black history in the south?"
294,"but it has a political agenda which the backers are more  interested in

victimization brings benefits to those who lobby on the Ukrainian's behalf- 
in a black and white world the movie fits perfectly with those who want to portray Russia as the evil perpetrator and Ukraine as the helpless target

never mind that many Ukrainians were complicit in this atrocity just as they would be a decade later in Lviv and Babiyar

facts are hard to accept for those who deal in polemics

go ahead delete this - it simply reinforces my point

yours is a political agenda"
295,"NETNUB, I think the POINT is that artists who are privileged - that is - white straight males - ought to be consulting with the various cultural communities, including the preferred pronouns, and so on"
296,I haye to say this due to the nature of comments (that I’m racist and hate white people) from a certain few people on this site
297,"

BTW- Antifa wasn't stifling speech anymore that the white nationalists"
298,I can believe that blacks (particularly young black males) may be stopped more frequently by the police than other 'groups'
299,I suggest you get a boat James and go looking for a big white whale with a truly remarkable tongue
300,she is white!
301,Trump thinks that means all people in the red zones are his minions
302,"""Once again settlers and especially white people have no place in this discussion"
303,"""As a white family, it is unlikely that my children will be targeted"""
304,Tell that to a black person who descended from slaves and see what they say
305,So basically he doesn't disagree with Obama's stance on Climate change -- he just didn't like the black guy making progress in the world so he's dismantling everything Obama ever did that was positive and will just redo it with his own name on it
306,"Did I get that right?

Kinda like his buddy Trump, who, since he's insanely rich, certainly would never use his office to enhance his wealth on the public dime, entertaining business partners in the white house and whatnot"
307,"When you have NO evidence that in these days, whites in general do NOT believe that black lives don;t matter, and there is ample evidence that in general whites believe that black lives DO matter, it is a vicious racist lie"
308,minimum (in addition to massive water wastage for their putting green lawns)???
309,I can see why a black person would be harmed by a troop of KKK people on the subway
310,"

Leafs Nation, wearing blue-and-white glasses"
311,"I think if you read the history of aboriginals in Canada, there was widespread violence and sexual abuse among the tribes long before the white settlers came along"
312,"A Keynesian, communist black man fer crisssakes!"
