color,sentence
red,146. His bristly red hair was standing on end.
red,147. You have split red ink all over my dress.
red,148. Our Five-Starred Red Flag is riffling in the breeze.
red,149. Her eyes were red and swollen from crying.
red,150. His face turned an even deeper shade of red.
red,151. Ring the spelling mistakes with red ink.
red,152. His face was red with rage.
red,153. Her criticisms were enough to make anyone see red.
red,154. His face was mottled red and white with embarrassment.
red,155. Red peppers are ideal for roasting in the oven.
red,156. Red hot coals glowed in the grate.
red,157. Look at that guy. He's got red socks.
red,158. I think I like the red one better.
red,159. Sunset came and coloured the sky a brilliant red.
red,160. Did the red wine stain come out? Sentencedict.com
red,161. The grocery was laced with red and yellow.
red,162. We often denote danger by red letters.
red,163. They tried to huckster red socks to me.
red,164. There was a dark red stain on the carpet.
red,165. I've always worn a lot of red.
red,166. Iron helps in the formation of red blood cells.
red,167. There was a red glare over the burning village.
red,168. Red Ken won seat in Parliament.
red,169. These plants carry the mutation for red flowers.
red,170. The Red Cross are relying on us.
red,171. The names of the winners are underlined in red.
red,172. I felt very conspicuous in my red coat.
red,173. I made a guitar and painted it red.
red,174. Would you prefer red or white?
red,175. She has fiery red hair.
red,176. How can I clean red wine off the carpet?
red,177. She daubed the red colour onto her nails.
red,178. Alternate cubes of meat with slices of red pepper.
red,179. You mustn't swim when the red flag is flying.
red,180. The traffic signals were on red.
red,181. She drives a red sports car.
red,182. The leaves start off green but turn red later.
red,183. He drew a heart and coloured it red.
red,184. The sky is red when the sun rises.
red,185. a diet rich in red meat and animal fats.
red,186. They interwove the red and gold threads.
red,187. They fronted the building with red brick.
red,188. The painter lightened the red paint with white.
red,189. The Red Sox victory ended a six-game skid.
red,190. Red blood cells transport oxygen through the bloodstream.
red,191. The book was bound in red leather.
red,192. His red clothes stood out clearly against the snow.
red,193. The robin has a red breast.
red,194. Stop when the lights change to red.
red,195. He was wearing a white shirt and a red tie.
red,196. Her cheeks became red after she ran up the stairs to the six floor.
red,197. You can stop the machine by pushing the red button.
red,198. Litmus paper turns red in the presence of an acid.
red,199. Is her hair hennaed or is that a natural red?
red,200. The power of red wine to counteract high cholesterol has been ballyhooed in the press.
red,201. She sprayed red paint all over his car in one last vengeful act before leaving him for good.
red,"202. Analysts predict the retailer will continue to bleed red ink,[http://sentencedict.com/red.html] with losses topping $180 million."
red,203. The inspector dutifully recorded the date in a large red book.
red,204. The saltiness of the cheese is balanced by the sweetness of the red peppers.
red,205. Stop chasing red herrings and get back to the point.
red,"206. She rushed in, her face red and sweaty and her hat awry."
red,207. It's an Australian company whose logo features a red kangaroo.
red,208. You can remove a red wine stain from a carpet by sprinkling salt over it.
red,209. The area we're interested in is outlined in red on the map.
red,210. An easy way to cut the amount of fat in your diet is to avoid eating red meats.
red,211. Her eyes were red and sore because of all the chlorine in the pool.
red,212. I like the sound of the beef in red wine sauce.
red,213. He was stopped by the police for going through a red light.
red,214. They marked the exact place of that hospital with a red cross.
red,215. The bright red of the curtains kills the brown of the carpet.
red,216. There were red fingermarks on her cheek where he had hit her.
red,"217. The red door clashed with the soft, natural tones of the stone walls."
red,218. Use a red gloss on your bottom lip to give it fullness.
red,219. He stammered something and went very red in the face.
red,220. Did you perceive a red colour or a green one?
red,221. I didn't mean to break his nose. I just saw red.
red,222. Red and yellow peppers give a little colour to the sauce.
red,223. Harry's remarks were beginning to annoy me but he saw the red light and changed the subject.
red,224. The colour of the red flag has been dulled by age.
red,"225. If your skin becomes red, sore or very scaly[sentencedict.com], consult your doctor."
red,226. I like my steak burnt to a cinder on the outside and blood red and juicy inside.
red,227. The red squirrel has become virtually extinct in most of the country.
red,"228. When he spoke in that innocent way, I saw red and struck him."
red,229. Seven-year-old Ian is proud to have earned his red belt in karate.
red,230. He was going red in the face and breathing with difficulty.
red,"231. If you criticize him, it's like a red rag to a bull-he gets absolutely furious."
red,232. Put on your red wool cardigan - it'll be nice and warm.
red,233. Observant walkers may see red deer along this stretch of the road.
red,234. She removed the bandage to reveal a red swollen wound oozing pus.
red,235. This year all the apples are all red. My niece and nephew are going out this morning with step-ladders to pick some.
orange,"1. If the orange is going to be bad ----for the best of us are bad sometimes ---it begins to be bad from the outside, not from the inside. "
orange,2. That's a funny combo - pink and orange.
orange,3. Add orange paint to get a warmer hue.
orange,4. It is a seedless type orange.
orange,5. She filled her mug with orange juice.
orange,6. Would you like another orange?
orange,7. He cut the orange into quarters.
orange,8. Cut the orange peel into fine shreds.
orange,9. He aimed at the apple and orange.
orange,10. The orange curtains jar with the red furniture.
orange,11. Would you peel me an orange?
orange,12. She likes the orange coat.
orange,13. The salad was decorated with segments of orange.
orange,14. This tea tasted of orange blossoms.
orange,15. I'd like a glass of orange juice.
orange,16. The orange skin squirted in my eye.
orange,17. Do you like orange juice?
orange,18. What colour is an orange?
orange,19. He stripped an orange of its rind for me.
orange,20. The orange juice had been spiked with gin.
orange,21. The black lettering really stands out on that orange background.
orange,22. The adult can be readily distinguished by its orange bill.
orange,23. Fresh orange juice should be refrigerated after opening and drunk within three days.
orange,24. Peel a thick-skinned orange and square off the ends with a sharp knife.
orange,"25. She wanted to buy the orange dress(sentencedict.com),but we persuaded her that the blue one was more becoming."
orange,"26. The outside of an orange is bitter, but the inside is sweet."
orange,"27. He collected some orange juice from the refrigerator and, glass in hand, strolled to the kitchen window."
orange,"28. The colours of the spectrum - red, orange, yellow, green, blue, indigo and violet - can be seen in a rainbow."
orange,"29. There were four of us, so we divided the orange into quarters and each ate a piece."
orange,30. The illustration shows a cluster of five roses coloured apricot orange.
orange,31. Would you like some fruit — an apple or an orange?
orange,32. We can use tonic water or orange juice as mixers.
orange,33. The children are trying to get the abstraction of the juice from an orange.
orange,34. Take the orange train.
orange,35. This orange tastes bitter.
orange,"36. After the abstraction of the juice from the orange, only a tasteless pulp is left."
orange,37. This orange is soft.
orange,38. Orange groves grow around the village.
orange,39. I love the smell of orange blossoms.
orange,40. She drank two whole glassfuls of orange juice.
orange,41. Orange and khaki flatter those with golden skin tones.
orange,42. This orange drink contains no artificial flavourings.
orange,43. The basis of this drink is orange juice.
orange,44. He moved around the country working in orange groves.
orange,"45. Red, orange, green and purple are all colours."
orange,46. The orange light resolved itself into four lanterns.
orange,47. £4 for an orange juice? That's just daylight robbery!
orange,"48. If you mix red and yellow, you get orange."
orange,49. He makes fresh orange juice with an electric extractor.
orange,50. These orange trees fruit annually.
orange,51. Orange trees are alien to China.
orange,52. The orange crop froze this winter.
orange,53. The orange curtains clash against the red furniture.
orange,54. The instruments glowed in the bright orange light.
orange,55. She was wearing a lurid orange and green blouse.
orange,56. The football team were wearing orange outfits.
orange,57. Cut the orange peel into thin shreds.
orange,58. I had nothing stronger than orange juice to drink.
orange,59. There was a warm orange glow in the sky.
orange,60. Cut the orange in half.
orange,61. Orange juice dribbled down his chin.
orange,"62. Could I have something non-alcoholic, like orange juice, please?"
orange,63. The male's orange beak differentiates it from the female.
orange,64. He owns an orange grove near Tel Aviv.
orange,65. He squeezed an orange to get the juice out.
orange,66. Add a little grated orange peel.
orange,67. Orange is the big colour this year.
orange,68. Would you like some orange?
orange,"69. Red, yellow and orange are called warm colours."
orange,70. I'd like a gin and orange please.
orange,71. The sunset threw an orange glow on the cliffs.
orange,72. It's a sort of pale orange colour.
orange,73. This orange is nice and juicy.
orange,74. We squeezed the juice from an orange.
orange,75. In October the leaves turn orange and yellow.
orange,76. The burning coals started to flame yellow and orange.
orange,77. They could see orange flares burning in the distance.
orange,78. Her hair was an unnatural orange.
orange,79. I plucked an orange from the tree.
orange,"80. A vodka and orange, please."
orange,81. The orange juice has been concentrated.
orange,82. He poured himself a glass of orange juice.
orange,83. The setting sun cast an orange glow over the mountains.
orange,"84. A margarita is made with tequila,(www.Sentencedict.com) an orange liqueur and lime or lemon juice."
orange,85. He was hesitating between a glass of wine and an orange juice.
orange,86. The air was fragrant with the smell of orange blossoms.
orange,87. Orange juice is to be pitched as an athlete's drink.
orange,88. Dilute the orange juice with water before you drink it.
orange,89. Lee broke off a small piece of orange and held it out to him.
orange,90. The curtains went a strange orange colour when we washed them.
orange,91. The setting sun filled the sky with a deep orange glow.
orange,92. The room was decorated in warm shades of red and orange.
orange,"93. The outer skin of the orange is called the ""zest""."
orange,94. She was wearing a violent pink sweater and orange trousers.
orange,"95. Orange flags stand out brightly, set against the blue sky."
orange,96. She was so thirsty that she drank a carton of orange juice.
orange,97. She could easily recall the smell of the orange groves.
orange,98. Decorate with orange segments.
orange,"99. Dioxin was the ingredient in Agent Orange, used to defoliate Vietnam."
orange,100. Gandhi drank some orange juice to break his three-week fast .
orange,101. The street lights in the distance were blobs of orange light.
orange,"102. I like red and orange together, though lots of people think they clash."
orange,103. You can't wear that pink jacket with your orange skirt. They'll just scream at each other.
orange,104. Add the grated orange rind and toss the apple slices in the mixture.
orange,105. One company had a virtual lock on all orange juice sales in the state.
orange,106. It took half an hour to clean the orange powder off the bath.
orange,107. Row after row of orange trees stretched to the horizon.
orange,108. He cut the orange in half and sucked out the juice.
orange,109. The trees were beginning to turn orange and yellow with autumn colours.
orange,110. 'Here you go.' Callum handed her a glass of orange juice.
orange,"111. Two orange squashes, please."
orange,"112. Many Chinese adults dress their children in brilliant orange, red and pink."
orange,113. Red grades into orange.
orange,114. Orange flames were already licking round the foot of the stairs.
orange,115. He makes a nice drink for women by influencing orange juice.
orange,"116. If I wear the orange hat with the blue dress,(www.Sentencedict.com) do you think it will go?"
orange,117. Pare off the rind from the orange using a sharp knife.
orange,118. Hybridising the two species will reduce the red to orange.
orange,"119. I haven't got any grapefruit juice, but I've got some orange juice. Will that do ?"
orange,120. She took care to paint her toe nails a lurid red or orange.
orange,121. Every day she reconstitutes the frozen orange juice by adding water.
orange,"122. What's this then, you're only drinking orange juice - have you signed the pledge or something?"
orange,123. I was flicking idly through a newspaper while awaiting the arrival of orange juice and coffee.
orange,"124. She couldn't find any cola, so had to settle for orange juice."
orange,125. There's not much sustenance in a glass of orange squash.
orange,126. Witnesses reported seeing a huge orange fireball as the oil refinery exploded.
orange,"127. Two orange juices, please."
orange,128. The leaves have yellow areas on the top and underneath are powdery orange spots.
orange,129. Turn sparkling wine into Buck's Fizz with the addition of chilled orange juice.
orange,130. Her hair was bright orange. It took us two goes to get the colour right.
orange,131. Everywhere in the house was a sticky trail of orange juice.
orange,132. An orange resembles a grapefruit.
orange,"133. Moving clockwise, orange is analogous to red."
orange,134. Orange flames burrowed through the grass.
orange,135. There are a large number of orange badge holders.
orange,136. There are orange bands around the snake's back.
orange,137. Fold in the ground almonds and reserved orange zest.
orange,"138. To whet your appetite, try the Wanaka lamb in orange sauce recipe on this page."
orange,"139. At twilight, the blazing orange sunset turned into a muted pink."
orange,"140. These fritters are especially delicious with stewed prunes with orange juice as an accompaniment, if desired."
orange,"141. Below the cardigan she wore a crumpled orange skirt almost to the floor, and black boots."
orange,"142. Blue gets back to his room on Orange Street, lies down on his bed, and tries to weigh the possibilities."
orange,"143. To ring the changes, try orange or lime-flavoured jellies for the cheesecake."
orange,144. Down among the orange lamps a broken car alarm marked out the time.
orange,145. Serve with brown rice and a chicory and orange salad.
orange,146. The fur lining the cave was a brindled orange; that of the cat creature too.
orange,147. The flag's five orange stripes stand out against a silver background.
orange,148. Labour councillors on Tuesday voted to introduce pedestrianisation in Skinnergate and High Row without any exemptions for orange badge holders.
orange,"149. The worst case scenario is a sausage biscuit with egg, hash browns and orange juice combination."
orange,150. Apple trees were straining beneath the weight of a bumper crop of what looked like Cox's orange pippins.
orange,"151. At the centre of each flower, the styles are a vivid orange, held well above the three golden yellow anthers."
orange,"152. They dug in garbage piles, looking for anything at all, banana skins, orange peels, discarded greens."
orange,"153. She dived down and swam out strongly against the current, towards an orange buoy at the outer edge of the bay."
orange,154. Breakfast each day consists of high fibre cereals with skimmed milk and a Vitamin C enriched orange drink.
orange,"155. The rugged mountains and hills form an impressive backdrop, and inland peaceful villages look out across orange and lemon groves."
orange,"156. He said there were 2,000 orange badge holders in Darlington alone and the system is abused."
orange,"157. I like it with a filling of apricot and orange, but you can experiment with other fruit fillings."
orange,"158. Mix the Grape Nuts, orange zest, oat flakes, cinnamon and cloves in a bowl and spread over the mixture."
orange,159. Claris looks out from under her limp-brimmed woollen hat and asks me for an orange with a charming broken-toothed smile.
orange,"160. She went on playing, one prominent cheekbone dusted orange by the candlelight."
orange,161. Why is a major news organization devoting attention to a couple of orange slabs melted between two slices of bread?
orange,"162. William of Orange, following his arrival in London, called a Parliament for 1st."
orange,"163. Mix the soft cheese with the sugar, fold in the orange rind. 5 Fold cream into mixture."
orange,"164. I can throw an orange like a baseball, but I can’t eat a baseball like an orange. Let that be a life lesson for you. Jarod Kintz "
orange,"165. Yellow looks away, black cap, face in profile, eye a line, orange cheek, lips open."
orange,"166. Agitatedly, it changed its spots from orange to blue to green and, finally, flushed perfectly purple."
orange,"167. Her orange-red hair was worn bouffant, and her orange lipstick made her look like a small circus clown."
orange,"168. The caudal fin is yellow-brown, and the dorsal spine and long snout are orange."
orange,169. Jimmy was temporarily blinded by the orange light which suddenly illuminated the car windscreen.
orange,170. A horrible orange blanket in my front room; drinking bourbon with my great-aunt Mary in St Louis.
orange,"171. Loose orange heaps, recently dropped, steaming, that bristled with straw."
orange,"172. Barry Kirk, 42, wears an orange jumpsuit and cape and paints his bald head orange."
orange,"173. Behind the fringe of orange crime-scene tape, on the street(sentencedict.com), the chalked outline of a human body."
orange,174. Car owners needing their wheel or battery changed are now greeted by men clad in bright orange uniforms and natty caps.
orange,175. Sainsbury's Buck's Fizz is a light and very attractive sparkling blend of wine and orange juice.
orange,"176. I would have liked to stick the tree together with glue, to lift those orange berries from the dust."
orange,"177. He was also carrying an orange poster on a pole, urging a vote for the local Liberal Democrat candidate."
orange,"178. Iron is more easily absorbed into the body if mixed with vitamin C; have an orange with your meal, for example."
orange,"179. The President, who drinks very little alcohol, sipped his favorite cocktail, a weak orange blossom."
orange,180. The male is a little larger than the female and has very bright orange ventral fins when in breeding colouration.
orange,"181. We would spend a month at Orange learning the basics of marching, singing, fitness, weapons drill and Legion history."
orange,182. We reached Orange before any of the other groups and went into the barracks.
orange,183. Neutral sodium absorbs orange light - at wavelengths of 5890 and 5896 angstroms - from stars that lie behind it.
orange,"184. An Egg McMuffin, hash browns and orange juice is more reasonable."
orange,185. An eerie orange glow lights up the devastation of Bijlmermeer - the Amsterdam suburb set ablaze by a crashing El Al plane.
orange,"186. To serve, set several orange slices alongside a slice of chocolate cake."
orange,187. In the same tea chest he came across a cube-shaped case made of orange plastic.
orange,"188. Omicron has a G-type spectrum, but when seen through binoculars seems to me rather more orange than might be expected."
orange,"189. That orange dress would be lovely at a party, but it makes you look a bit arty and hippy."
orange,190. But Adams also acknowledged that he ordered agents to escort McVeigh out of the courthouse in a bright orange jumpsuit.
orange,"191. For a stronger flavour, sprinkle the sponge biscuits with orange juice and extra Cointreau."
orange,"192. Today their lovely parklands and orange trees remain, a medieval quarter adds charm and the modern seafront surrounds the glimmering bay."
orange,193. She bought bread and orange juice and cornflakes and porridge.
orange,194. I was bored with Aubagne and was looking forward to Orange.
orange,195. But this small orange box produced by a Thame company could help prevent such accidents in the future.
orange,"196. Instead, Mr Fittipaldi held aloft a bottle of orange juice from his farm."
orange,197. Pour the orange juice or apple juice over the fruit and mix well.
orange,198. She put silver candles on the table and orange and white blossom in the corners of the room.
orange,"199. Strain the liquid, then add orange, lemon and apple slices."
orange,200. A glass of orange juice provides the recommended daily allowance of Vitamin C.
orange,201. We can attack an orange for not being an apple.
orange,"202. Belinda stopped in front of them, still drinking her orange juice and rocking backwards and forwards on her heels."
orange,"203. I used to pour the orange juice, which represented the added value in our products,(sentence dictionary) into four separate glasses."
orange,204. New rules: Rules change on Monday for disabled drivers using orange badge parking discs.
orange,205. Blend together the arrowroot and one tablespoon of the orange juice and set aside.
orange,"206. He pushed the pad aside, took a sip of orange juice, wiped his forehead, and went on typing."
orange,"207. The 25 varieties include: apricot, strawberry, orange extra marmalade and four berry fruits."
orange,208. One of the most interesting and unusual of the citrus varieties is the blood orange.
orange,"209. Some orange badges, quite obviously, are gained by telling white lies."
orange,"210. White acrylic mixed with cadmium orange, yellow ochre or burnt sienna allows Martin to overlap and cross-hatch."
orange,"211. Mix together the lemon juice and freshly squeezed orange juice, then stir in the caster sugar."
orange,212. His western omelet comes with hash browns on the side and a superfluous garnish of an orange slice and parsley.
orange,213. Orange rum butter Orange rum butter is a cousin of brandy butter.
orange,214. Sometimes a white cat is born with one blue eye and one orange eye.
orange,"215. The eggs are usually bright orange, red or brown and the fry apparently browse on al; gae."
orange,216. He is sitting in one of the curved Scandinavian chairs of blond wood with an orange backing.
orange,"217. You can show me or remind me of the difference between orange and pink, perhaps by showing me a colour chart."
orange,"218. Most of the seals were nevertheless made of bone, ivory, steatite, banded agate, or orange carnelian."
orange,219. Homemade cranberry sauce with slivers of almonds and pieces of orange peel.
orange,220. Across the flat tableland are almost 100 red and orange monolithic sandstone buttes and mesas jutting skywards.
orange,"221. Kate could hardly remember what an orange was; like bananas and ice cream, they no longer existed."
orange,"222. Orange flames burst from the root of his right wing and billowed back toward the tail, turning into coal-black smoke."
orange,223. Something exploded on the fringe of his vision and sent out jagged streaks of orange flame like cartoon electricity.
yellow,1. The lectern was draped in yellow silk sheets.
yellow,"2. Look, double yellow lines you mustn't park here."
yellow,3. She wore a yellow dress.
yellow,"4. If you mix blue and yellow, you get green."
yellow,5. Her hair was tied up with a yellow ribbon.
yellow,6. Don't park your car on double yellow lines.
yellow,7. His coat was plastered with thick yellow mud.
yellow,8. We papered the room yellow.
yellow,9. Yellow doesn't suit me at all.
yellow,10. I always suspected he was yellow.
yellow,11. His eyeballs were an unhealthy yellow.
yellow,12. Her teeth were rather yellow.
yellow,13. The yellow curtains contrast with the blue bedcover.
yellow,14. The Yellow River rolls on day and night.
yellow,15. Red and yellow flames spurted out of the fire.
yellow,16. She coloured the pictures with a yellow crayon.
yellow,17. I've highlighted the important passages in yellow.
yellow,18. Yellow is a cheerful colour.
yellow,19. The sun has bleached her yellow skirt.
yellow,20. The bathroom is decorated in green and yellow.
yellow,21. The walls have been painted bright yellow.
yellow,22. We must weed out the yellow flowers among the onions as soon as possible.
yellow,23. His tomb was covered with a yellow patina of lichen.
yellow,24. He explained the yellow fever epidemic as a providential act to discourage urban growth.
yellow,"25. There are painters who transform the sun to a yellow spot, but there are others who with the help of their art and their intelligence, transform a yellow spot into the sun. "
yellow,26. It was early autumn and the leaves were turning yellow.
yellow,27. You can't mistake their house - it's got a bright yellow front door.
yellow,"28. Love, is the youth frenzy years round of apricot yellow months, fine but hazy."
yellow,"29. As I opened the scroll, a panorama of the Yellow River unfolded."
yellow,30. She tried to create the impression of strong sunlight by stippling the canvas in yellow and white.
yellow,31. The boy banded the dog's neck with a yellow string.
yellow,"32. The colours of the spectrum - red, orange, yellow, green, blue, indigo and violet - can be seen in a rainbow."
yellow,"33. You can use any two colors — for example, red and yellow."
yellow,34. This package contains 500 sheets of notepaper and among them are included 400 of white paper and 100 of yellow.
yellow,"35. Stray birds of summer come to my window to sing and fly away.And yellow leaves of autumn, which have no songs, flutter and fall there with a sign."
yellow,36. Crowds of French and British families plodded around in yellow plastic macs.
yellow,37. The paint we're using for the bathroom is white with a yellow tint. Sentencedict.com
yellow,"38. The water is clear and the mountain is bright. The frost comes in at night. Trees are covered with deep scarlet leaves, mixed with yellow that is light."
yellow,39. I got a parking fine for parking on double yellow lines.
yellow,40. Could you help me to pick out the yellow pieces?
yellow,41. Yellow is the predominant colour this spring in the fashion world.
yellow,"42. Devil killer body, a large wavy golden hair shine, slender legs wearing a yellow goose miniskirts, show figure of the perfect."
yellow,43. The curtains are yellow.
yellow,44. You should wear more yellow - it suits you.
yellow,45. Some peoples are yellow races.
yellow,46. A ripe lemon is yellow.
yellow,47. The yellow paint makes the kitchen look much fresher.
yellow,48. Her hair was an improbable shade of yellow.
yellow,49. She was trussed up with yellow nylon rope.
yellow,50. You can't park on a double yellow line.
yellow,"51. Like the Yellow River,time keeps rolling along."
yellow,52. I like the ship with a yellow funnel.
yellow,53. Her fingers were stained yellow from years of smoking.
yellow,54. The Yellow River has been harnessed.
yellow,55. The sky was streaked yellow and purple.
yellow,56. Yellow and blue blend to make green.
yellow,57. It's an offence to park on double yellow lines.
yellow,58. The Yellow River flows in the Bohai Sea.
yellow,59. Her hat was tricked out with a yellow ribbon.
yellow,60. Yellow and green together make a pale green.
yellow,61. Yellow was the preponderant color in the room.
yellow,62. The bomb exploded in a flash of yellow light.
yellow,63. The material is yellow with blue swirls on it.
yellow,64. This strain of mosquito carries malaria and yellow fever.
yellow,65. The color is yellow inclining to green.
yellow,66. He had hair like tangled yellow string.
yellow,67. The grocery was laced with red and yellow.
yellow,68. Yellow clothes are worn as symbolic of spring.
yellow,69. A yellow precipitate should form immediately.
yellow,70. The wings are tipped with yellow.
yellow,71. Brighten the kitchen by painting it yellow.
yellow,72. A yellow blouse goes with her blonde hair.
yellow,73. She found a pretty yellow jug smashed to bits.
yellow,74. She wore a pale yellow dress.
yellow,"75. If you mix red and yellow,(http://sentencedict.com/yellow.html) you get orange."
yellow,76. The male is recognizable by its yellow crest.
yellow,77. The basement hallway is painted a warm yellow.
yellow,78. Yellow is her favourite colour.
yellow,79. Purple and yellow flowers peeped up between rocks.
yellow,80. If you mix blue with yellow you get green.
yellow,81. Whatever's that yellow thing on your plate?
yellow,82. He fell sick with yellow fever.
