,0
105,"Who could sit upon anything in Fleet-street during the busy hours of the day, and not be dazed and deafened by two immense processions, one ever tending westward with the sun, the other ever tending eastward from the sun, both ever tending to the plains beyond the range of red and purple where the sun goes down!"
106,"but he was so alert, and made such good use of his time, that in another moment he was scouring away up a bye-street, after shedding his cloak, hat, long hatband, white pocket-handkerchief, and other symbolical tears"
107,"and his bear, who was black and very mangy, gave quite an Undertaking air to that part of the procession in which he walked"
108,the other a mender of roads in a blue cap
109,"Madame Defarge set wine before the mender of roads called Jacques, who doffed his blue cap to the company, and drank"
110,"Out of the wine-shop into the street, out of the street into a courtyard, out of the courtyard up a steep staircase, out of the staircase into a garret—formerly the garret where a white-haired man sat on a low bench, stooping forward and very busy, making shoes"
111,No white-haired man was there now;
112,"And between them and the white-haired man afar off, was the one small link, that they had once looked in at him through the chinks in the wall"
113,"The mender of roads, blue cap in hand, wiped his swarthy forehead with it, and said, “Where shall I commence, monsieur?”"
114,"“I stand aside, messieurs, by my heap of stones, to see the soldiers and their prisoner pass (for it is a solitary road, that, where any spectacle is well worth looking at), and at first, as they approach, I see no more than that they are six soldiers with a tall man bound, and that they are almost black to my sight—except on the side of the sun going to bed, where they have a red edge, messieurs"
115,"In the morning, with my tools upon my shoulder, eating my morsel of black bread as I go, I make a circuit by the prison, on my way to my work"
116,"They looked at one another, as he used his blue cap to wipe his face, on which the perspiration had started afresh while he recalled the spectacle"
117,"The man moved a little further away, as soon as he could, and the mender of roads fanned himself with his blue cap:"
118,"Then, there were gardens, courtyards, terraces, fountains, green banks, more King and Queen, more Bull’s Eye, more lords and ladies, more Long live they all!"
119,"Madame Defarge and monsieur her husband returned amicably to the bosom of Saint Antoine, while a speck in a blue cap toiled through the darkness, and through the dust, and down the weary miles of avenue by the wayside, slowly tending towards that point of the compass where the chateau of Monsieur the Marquis, now in his grave, listened to the whispering trees"
120,"Chateau and hut, stone face and dangling figure, the red stain on the stone floor, and the pure water in the village well—thousands of acres of land—a whole province of France—all France itself—lay under the night sky, concentrated into a faint hair-breadth line"
121,"When Saint Antoine had again enfolded the Defarges in his dusky wings, and they, having finally alighted near the Saint’s boundaries, were picking their way on foot through the black mud and offal of his streets, Madame Defarge spoke to her husband:"
123,"Good day, age about forty, height about five feet nine, black hair, generally rather handsome visage, complexion dark, eyes dark, thin, long and sallow face, aquiline nose but not straight, having a peculiar inclination towards the left cheek which imparts a sinister expression!"
124,"and it was from your care that his daughter took him, accompanied by a neat brown monsieur;"
125,"and he lay asleep, his white hair picturesque on the untroubled pillow, and his hands lying quiet on the coverlet"
126,"For a moment, he held the fair face from him to look at the well-remembered expression on the forehead, and then laid the bright golden hair against his little brown wig, with a genuine tenderness and delicacy which, if such things be old-fashioned, were as old as Adam"
127,"They returned home to breakfast, and all went well, and in due course the golden hair that had mingled with the poor shoemaker’s white locks in the Paris garret, were mingled with them again in the morning sunlight, on the threshold of the door at parting"
128,"Having abundance of time for his usual methodical toilette, Mr. Lorry presented himself at the breakfast-hour in his usual white linen, and with his usual neat leg"
129,"If one forlorn wanderer then pacing the dark streets, could have heard her innocent disclosure, and could have seen the drops of pity kissed away by her husband from the soft blue eyes so loving of that husband, he might have cried to the night—and the words would not have parted from his lips for the first time—"
130,"“I began to think,” said Mr. Lorry, pushing his brown wig back, “that I should have to pass the night at Tellson’s"
131,"A white flag from within the fortress, and a parley—this dimly perceptible through the raging storm, nothing audible in it—suddenly the sea rose immeasurably wider and higher, and swept Defarge of the wine-shop over the lowered drawbridge, past the massive stone outer walls, in among the eight great towers surrendered!"
132,"In the howling universe of passion and contention that seemed to encompass this grim old officer conspicuous in his grey coat and red decoration, there was but one quite steady figure, and that was a woman’s"
133,"The sea of black and threatening waters, and of destructive upheaving of wave against wave, whose depths were yet unfathomed and whose forces were yet unknown"
134,"Defarge came in breathless, pulled off a red cap he wore, and looked around him!"
135,"Every green leaf, every blade of grass and blade of grain, was as shrivelled and poor as the miserable people"
136,"As the road-mender plied his dusty labour, and the hail-clouds, rolling away, revealed bright bars and streaks of sky which were responded to by silver gleams upon the landscape, the little man (who wore a red cap now, in place of his blue one) seemed fascinated by the figure on the heap of stones"
137,"The bronze face, the shaggy black hair and beard, the coarse woollen red cap, the rough medley dress of home-spun stuff and hairy skins of beasts, the powerful frame attenuated by spare living, and the sullen and desperate compression of the lips in sleep, inspired the mender of roads with awe"
138,"Four lights broke out there, and moved away in different directions, and all was black again"
139,"In the roaring and raging of the conflagration, a red-hot wind, driving straight from the infernal regions, seemed to be blowing the edifice away"
140,"A trying suspense, to be passing a whole summer night on the brink of the black ocean, ready to take that plunge into it upon which Monsieur Gabelle had resolved!"
141,"For, the footsteps had become to their minds as the footsteps of a people, tumultuous under a red flag and with their country declared in danger, changed into wild beasts, by terrible enchantment long persisted in"
142,"Awakened by a timid local functionary and three armed patriots in rough red caps and with pipes in their mouths, who sat down on the bed"
143,"“Silence!” growled a red-cap, striking at the coverlet with the butt-end of his musket"
144,Listen to him!” cried the same scowling red-cap
145,"Darnay complied, and was taken back to the guard-house, where other patriots in rough red caps were smoking, drinking, and sleeping, by a watch-fire"
146,"The escort were two mounted patriots in red caps and tri-coloured cockades, armed with national muskets and sabres, who rode one on either side of him"
147,"The red cap and tri-colour cockade were universal, both among men and women"
148,"When they had ascended forty steps (the prisoner of half an hour already counted them), the gaoler opened a low black door, and they passed into a solitary cell"
149,"For, what would staid British responsibility and respectability have said to orange-trees in boxes in a Bank courtyard, and even to a Cupid over the counter?"
150,"Hatchets, knives, bayonets, swords, all brought to be sharpened, were all red with it"
151,"And as the frantic wielders of these weapons snatched them from the stream of sparks and tore away into the streets, the same red hue was red in their frenzied eyes;—eyes which any unbrutalised beholder would have given twenty years of life, to petrify with a well-directed gun"
152,"His streaming white hair, his remarkable face, and the impetuous confidence of his manner, as he put the weapons aside like water, carried him in an instant to the heart of the concourse at the stone"
153,"The great grindstone, Earth, had turned when Mr. Lorry looked out again, and the sun was red on the courtyard"
154,"But, the lesser grindstone stood alone there in the calm morning air, with a red upon it that the sun had never given, and would never take away"
155,the black flag waved night and day from the great towers of Notre Dame;
156,"bright women, brown-haired, black-haired, and grey;"
157,"all red wine for La Guillotine, all daily brought into light from the dark cellars of the loathsome prisons, and carried to her through the streets to slake her devouring thirst"
158,"But, from the hour when she had taken the white head to her fresh young bosom in the garret of Saint Antoine, she had been true to her duties"
159,"She had seen the houses, as she came along, decorated with little pikes, and with little red caps stuck upon them;"
160,"At first, they were a mere storm of coarse red caps and coarse woollen rags;"
161,"As it passed, leaving Lucie frightened and bewildered in the doorway of the wood-sawyer’s house, the feathery snow fell as quietly and lay as white and soft, as if it had never been"
162,"Madame Defarge gone, like a shadow over the white road"
163,"A murky red and yellow sky, and a rising mist from the Seine, denoted the approach of darkness"
164,but the rough red cap and tricoloured cockade was the head-dress otherwise prevailing
165,"Over the chair they had thrown a red flag, and to the back of it they had bound a pike with a red cap on its top"
166,"In this car of triumph, not even the Doctor’s entreaties could prevent his being carried to his home on men’s shoulders, with a confused sea of red caps heaving about him, and casting up to sight from the stormy deep such wrecks of faces, that he more than once misdoubted his mind being in confusion, and that he was in the tumbril on his way to the Guillotine"
167,"All the air round was so thick and dark, the people were so passionately revengeful and fitful, the innocent were so constantly put to death on vague suspicion and black malice, it was so impossible to forget that many as blameless as her husband and as dear to others as he was to her, every day shared the fate from which he had been clutched, that her heart could not be as lightened of its load as she felt it ought to be"
168,"“Now, Mr. Cruncher,” said Miss Pross, whose eyes were red with felicity;"
169,"A rude clattering of feet over the floor, and four rough men in red caps, armed with sabres and pistols, entered the room"
170,"Doctor Manette, whom this visitation had so turned into stone, that he stood with the lamp in his hand, as if he were a statue made to hold it, moved after these words were spoken, put the lamp down, and confronting the speaker, and taking him, not ungently, by the loose front of his red woollen shirt, said:"
171,"It had a quieter look than any other place of the same description they had passed, and, though red with patriotic caps, was not so red as the rest"
172,"of the people, pipe in mouth, playing with limp cards and yellow dominoes;"
173,"of the two or three customers fallen forward asleep, who in the popular high-shouldered shaggy black spencer looked, in that attitude, like slumbering bears or dogs;"
174,"Mr. Lorry had just finished his dinner, and was sitting before a cheery little log or two of fire—perhaps looking into their blaze for the picture of that younger elderly gentleman from Tellson’s, who had looked into the red coals at the Royal George at Dover, now a good many years ago"
175,"Besides that all secret men are men soon terrified, here were surely cards enough of one black suit, to justify the holder in growing rather livid as he turned them over"
176,"He wore the white riding-coat and top-boots, then in vogue, and the light of the fire touching their light surfaces made him look very pale, with his long brown hair, all untrimmed, hanging loose about him"
177,"Few coaches were abroad, for riders in coaches were liable to be suspected, and gentility hid its head in red nightcaps, and put on heavy shoes, and trudged"
178,"The court was all astir and a-buzz, when the black sheep—whom many fell away from in dread—pressed him into an obscure corner among the crowd"
179,"“That night, the last night of the year, towards nine o’clock, a man in a black dress rang at my gate, demanded to see me, and softly followed my servant, Ernest Defarge, a youth, up-stairs"
180,"When I was clear of the house, a black muffler was drawn tightly over my mouth from behind, and my arms were pinioned"
181,"But, now I believe that the mark of the red cross is fatal to them, and that they have no part in His mercies"
182,"Her father’s only answer was to draw his hands through his white hair, and wring them with a shriek of anguish"
183,"Both her hearers derived a horrible enjoyment from the deadly nature of her wrath—the listener could feel how white she was, without seeing her—and both highly commended it"
184,"In the black prison of the Conciergerie, the doomed of the day awaited their fate"
185,"“I have seen blue eyes and golden hair there, and they looked charming when Samson held them up"
186,"“The child also,” observed Jacques Three, with a meditative enjoyment of his words, “has golden hair and blue eyes"
187,"The wood-sawyer, who held her in the respect, and himself in the submission, of mortal fear, advanced with his hand to his red cap"
188,"Carelessly worn, it was a becoming robe enough, in a certain weird way, and her dark hair looked rich under her coarse red cap"
189,"Thus accoutred, and walking with the confident tread of such a character, and with the supple freedom of a woman who had habitually walked in her girlhood, bare-foot and bare-legged, on the brown sea-sand, Madame Defarge took her way along the streets"
190,"So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her"
191,"such as, that a red-hot poker will burn you if you hold it too long;"
192,"It was the White Rabbit returning, splendidly dressed, with a pair of white kid gloves in one hand and a large fan in the other:"
193,"so, when the Rabbit came near her, she began, in a low, timid voice, “If you please, sir—” The Rabbit started violently, dropped the white kid gloves and the fan, and skurried away into the darkness as hard as he could go"
194,"As she said this she looked down at her hands, and was surprised to see that she had put on one of the Rabbit’s little white kid gloves while she was talking"
195,"A little bright-eyed terrier, you know, with oh, such long curly brown hair!"
196,"Where can I have dropped them, I wonder?” Alice guessed in a moment that it was looking for the fan and the pair of white kid gloves, and she very good-naturedly began hunting about for them, but they were nowhere to be seen—everything seemed to have changed since her swim in the pool, and the great hall, with the glass table and the little door, had vanished completely"
197,"By this time she had found her way into a tidy little room with a table in the window, and on it (as she had hoped) a fan and two or three pairs of tiny white kid gloves:"
198,"She stretched herself up on tiptoe, and peeped over the edge of the mushroom, and her eyes immediately met those of a large blue caterpillar, that was sitting on the top with its arms folded, quietly smoking a long hookah, and taking not the smallest notice of her or of anything else"
199,"all she could see, when she looked down, was an immense length of neck, which seemed to rise like a stalk out of a sea of green leaves that lay far below her"
200,“What can all that green stuff be?” said Alice
201,"And oh, my poor hands, how is it I can’t see you?” She was moving them about as she spoke, but no result seemed to follow, except a little shaking among the distant green leaves"
202,"Two began in a low voice, “Why the fact is, you see, Miss, this here ought to have been a red rose-tree, and we put a white one in by mistake;"
203,"He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections"
204,"found where the itch was, and saw that it was covered with lots of little white spots which he didn't know what to make of;"
205,"using the jaw, he really was able to start the key turning, ignoring the fact that he must have been causing some kind of damage as a brown fluid came from his mouth, flowed over the key and dripped onto the floor"
206,"One side of his body lifted itself, he lay at an angle in the doorway, one flank scraped on the white door and was painfully injured, leaving vile brown flecks on it, soon he was stuck fast and would not have been able to move at all by himself, the little legs along one side hung quivering in the air while those on the other side were pressed painfully against the ground"
207,By the door there was a dish filled with sweetened milk with little pieces of white bread floating in it
208,"bones from the evening meal, covered in white sauce that had gone hard;"
209,"But Grete's words had made her mother quite worried, she stepped to one side, saw the enormous brown patch against the flowers of the wallpaper, and before she even realised it was Gregor that she saw screamed:"
210,"dressed in a smart blue uniform with gold buttons, the sort worn by the employees at the banking institute;"
211,his normally unkempt white hair was combed down painfully close to his scalp
212,"These little, red apples rolled about on the floor, knocking into each other as if they had electric motors"
213,"an enormous, thick-boned charwoman with white hair that flapped around her head came every morning and evening to do the heaviest work;"
214,"He could already hardly feel the decayed apple in his back or the inflamed area around it, which was entirely covered in white dust"
215,"It is a dull yet lurid orange in some places, a sickly sulphur tint in others"
216,"Then she said that the paper stained everything it touched, that she had found yellow smooches on all my clothes and John’s, and she wished we would be more careful!"
217,"There are always new shoots on the fungus, and new shades of yellow all over it"
218,"It makes me think of all the yellow things I ever saw—not beautiful ones like buttercups, but old foul, bad yellow things"
220,"They get through, and then the pattern strangles them off and turns them upside-down, and makes their eyes white!"
221,"For outside you have to creep on the ground, and everything is green instead of yellow"
222,"And, think of it, soon the spring will come and the big blue sky!"
223,Such red cheeks like apples and roses
224,How pretty the red flowers look—
225,"As soon as I am quite certain that the worst has come, I shall send you my card with a black cross on it, and then you will know that the loathsome end has begun"
226,She is in an Italian costume with a large black shawl around her;
227,"he is in evening dress, and a black domino which is flying open"
228,There is a big black hat—have you never heard of hats that make you invisible?
229,There is a black cross over the name
230,"the icy, black water—the unfathomable depths—If only it were over!"
231,"which is more than we allow to sheep, black cattle, or swine, and my reason is, that these children are seldom the fruits of marriage, a circumstance not much regarded by our savages, therefore, one male will be sufficient to serve four females"
232,"I bought a dozen volumes on banking and credit and investment securities, and they stood on my shelf in red and gold like new money from the mint, promising to unfold the shining secrets that only Midas and Morgan and Maecenas knew"
233,"Across the courtesy bay the white palaces of fashionable East Egg glittered along the water, and the history of the summer really begins on the evening I drove over there to have dinner with the Tom Buchanans"
234,"Their house was even more elaborate than I expected, a cheerful red-and-white Georgian Colonial mansion, overlooking the bay"
235,The windows were ajar and gleaming white against the fresh grass outside that seemed to grow a little way into the house
236,"All the cars have the left rear wheel painted black as a mourning wreath, and there’s a persistent wail all night along the north shore"
237,We all looked—the knuckle was black and blue
238,"Sometimes she and Miss Baker talked at once, unobtrusively and with a bantering inconsequence that was never quite chatter, that was as cool as their white dresses and their impersonal eyes in the absence of all desire"
239,The idea is if we don’t look out the white race will be—will be utterly submerged
240,"The lamplight, bright on his boots and dull on the autumn-leaf yellow of her hair, glinted along the paper as she turned a page with a flutter of slender muscles in her arms"
241,Our white girlhood was passed together there
242,"Already it was deep summer on roadhouse roofs and in front of wayside garages, where new red petrol-pumps sat out in pools of light, and when I reached my estate at West Egg I ran the car under its shed and sat for a while on an abandoned grass roller in the yard"
243,"Involuntarily I glanced seaward—and distinguished nothing except a single green light, minute and far away, that might have been the end of a dock"
244,Eckleburg are blue and gigantic—their retinas are one yard high
245,"They look out of no face, but, instead, from a pair of enormous yellow spectacles which pass over a nonexistent nose"
246,"The only building in sight was a small block of yellow brick sitting on the edge of the waste land, a sort of compact Main Street ministering to it, and contiguous to absolutely nothing"
247,When he saw us a damp gleam of hope sprang into his light blue eyes
248,"Her face, above a spotted dress of dark blue crêpe-de-chine, contained no facet or gleam of beauty, but there was an immediately perceptible vitality about her as if the nerves of her body were continually smouldering"
249,"A white ashen dust veiled his dark suit and his pale hair as it veiled everything in the vicinity—except his wife, who moved close to Tom"
250,"She had changed her dress to a brown figured muslin, which stretched tight over her rather wide hips as Tom helped her to the platform in New York"
251,” He passed his hand over the brown washrag of a back
252,I wouldn’t have been surprised to see a great flock of white sheep turn the corner
253,At th Street the cab stopped at one slice in a long white cake of apartment-houses
254,"The sister, Catherine, was a slender, worldly girl of about thirty, with a solid, sticky bob of red hair, and a complexion powdered milky white"
255,"He had just shaved, for there was a white spot of lather on his cheekbone, and he was most respectful in his greeting to everyone in the room"
256,The late afternoon sky bloomed in the window for a moment like the blue honey of the Mediterranean—then the shrill voice of Mrs. McKee called me back into the room
