color,sentence
red,Tom was caught red-handed
red,He painted his bicycle red
red,His cheeks were bright red
red,I have a pair of red shoes
red,I prefer red wine to white
red,I thought Tom had red hair
red,The red light has gone off
red,She is holding a red flower
red,She was wearing a red skirt
red,Take two of these red pills
red,The computer's color is red
red,They were caught red-handed
red,Tom drives a red sports car
red,Tom painted his bicycle red
red,He drank a glass of red wine
red,He has red hair and freckles
red,Her face suddenly turned red
red,I thought you hated red wine
red,Red wine goes well with meat
red,She dyed her white skirt red
red,She was wearing a red blouse
red,The roof of the house is red
red,Tom is a Red Cross volunteer
red,A red dress looks good on her
red,Red doesn't look good on Mary
red,She wants to dye her hair red
red,That red car hit the blue van
red,The branding iron was red hot
red,Tom drank a glass of red wine
red,"Yesterday, I bought a red car"
red,A red dress made her stand out
red,We went into the red last year
red,That dress matches her red hair
red,The earth became red with blood
red,The girl had a large red hat on
red,The traffic lights were all red
red,There is a red rose in the vase
red,There is a red rose in the vase
red,Tom's eyes were red from crying
red,I like the red ones on the shelf
red,Our team were wearing red shirts
red,She contributed to the Red Cross
red,That red dress looks good on her
red,The house is built of red bricks
red,The police caught him red handed
red,The red dress looked good on her
red,The traffic light changed to red
red,You look nice in that red sweater
red,Mary was wearing a tight red dress
red,She was wearing a red bathing suit
red,She's going to buy the red sweater
red,That red sweater looks good on you
red,A red light was glowing in the dark
red,Fish and red wine don't go together
red,He wore a red sash across his chest
red,I do not have a red cent to my name
red,My godfather gave me that red shirt
red,Red circles on the map mark schools
red,The girl doesn't like the red shoes
red,The leaves on trees have turned red
red,The light changed from red to green
red,The red light above the door was on
red,They donated money to the Red Cross
red,Tom has red spots all over his body
red,Mary put on some bright red lipstick
red,The red hat goes well with her dress
red,Mary wore a red scarf around her neck
red,She was dressed in a red bathing suit
red,He did not stop his car at the red light
red,That house with a red roof is my uncle's
red,The girl brought me a red and white rose
red,The police caught the burglar red-handed
red,The room was illuminated with red lights
red,The silver balls are around the red ball
red,There are many red flowers in the garden
red,There's only one bottle of red wine left
red,The Qutub Minar and Red Fort are in Delhi
red,The young woman's face became even redder
red,They drank a bottle of red wine at dinner
red,We really painted the town red last night
red,My new Alfa Romeo convertible is light red
red,My shirt is red and my shoes are dark blue
red,The cold weather has turned the leaves red
red,The girl brought me a red and a white rose
red,The red house is the house that Jack built
red,There is a tinge of red in the eastern sky
red,Tom was wearing a gray suit with a red tie
red,A bright red ladybug landed on my fingertip
red,A red and white flag was flying in the wind
red,The red chair was set apart
red,The leaves will turn red in two or three weeks
red,The Red Cross distributed food to the refugees
red,The Red Cross supplied the hospital with blood
red,One does not wear a red mini skirt to a funeral
red,Paparazzi thronged both sides of the red carpet
red,These green leaves turn red or yellow in autumn
red,I put a red mark on the calendar for my birthday
red,Push the red button if something strange happens
red,The red lines on the map represent railway lines
red,They say red wine is better with meat than white
red,A further reduction would make us go into the red
red,A purple carpet will not go with this red curtain
red,I noticed the sale prices were written in red ink
red,Press the red button if something strange happens
red,There are some red lights blinking on the console
red,"""You had better not wear the red dress"
red,The alarm went off and a red light started flashing
red,The landlord won't permit him to paint the door red
red,The red belt makes her black dress look even better
red,There were two red hats on this table two hours ago
red,When I use contacts my eyes feel dry and become red
red,"If you run a red light, you risk causing an accident"
red,One of her three cars is blue and the others are red
red,Owners of red sports cars pay higher insurance rates
red,She was caught red-handed trying to steal a necklace
red,The baby tried to get at the red candle on the table
red,Tom and Mary split a bottle of red wine after dinner
red,Tom was wearing a red and white striped bathing suit
red,The only flight available is a red eye flight next week
red,"The outside of this box is green, but the inside is red"
red,"Because the traffic light turned red, he stopped his car"
red,"In case of fire, break the glass and push the red button"
red,"My sister, wearing her favorite red coat, went out today"
red,There's a red pickup truck parked in front of your house
red,All the words underlined in red should be checked for spelling
red,I've heard that you shouldn't eat red meat more than once a day
red,"If you run a red light, you run the risk of causing an accident"
red,Tom wasn't sure whether to press the red button or the blue one
red,Tom wears the same red flannel shirt every time he goes camping
red,"Even though the light was red, that car just drove right through"
red,It's dangerous for you to cross the street when the light is red
red,"Some of the roses in my garden are white, and the others are red"
red,The leaves of the trees in the garden have turned completely red
red,The Red Cross dispensed food and medical supplies to the victims
red,Tom watched as Mary drove away in her red convertible sports car
red,Mark in red anything you don't understand and ask about it in class
red,Red Mulligan has announced that he'll fight Rocky Luciano next month
red,"A blue suit, white shirt and red tie are essential for all male workers"
red,"Ambulances don't have to stop at red lights, but they usually slow down"
red,The first thing that hits you is the bright red discount drugstore sign
red,We had to sell the building because for years we operated it in the red
red,It's amazing that so many people cross this street when the light is red
red,That red tie doesn't go with your suit
red,Tom claimed that he owned that expensive-looking red car we saw yesterday
red,"The police caught Tom red-handed, breaking into a house in our neighborhood"
red,Behind our house there are three beautiful apple trees with little red apples
red,I saw a bright red Ferrari parked at the campus gates and my jaw just dropped
red,I saw a red car and a white one
orange,He likes oranges
orange,She likes oranges
orange,Does she like oranges?
orange,May I eat this orange?
orange,I'd like an orange juice
orange,These oranges taste good
orange,I prefer apples to oranges
orange,I'm wearing an orange T-shirt
orange,Oranges are rich in vitamin C
orange,Don't you want any orange juice?
orange,There is an orange on the table
orange,I like oranges better than apples
orange,Oranges contain a lot of vitamin C
orange,Mandarin oranges have a lot of vitamin C
orange,"Which do you like better, apples or oranges?"
orange,She tried to squeeze the juice from the orange
orange,Tom likes oranges and eats three or four a week
orange,He gave me an orange in exchange for a piece of cake
orange,I think it's unhealthy to eat more than 20 oranges a day
orange,Tom likes oranges and eats around 3 or 4 of them per week
orange,My tie is orange
orange,Give me an orange
orange,We sell orange juice
orange,We have an orange tree
orange,Give me a dozen oranges
orange,He doesn't like oranges
orange,It feels like an orange
orange,It looks like an orange
orange,This orange is too sour
orange,I like oranges very much
orange,It smells like an orange
orange,This orange is delicious
orange,Mary wore an orange dress
orange,These oranges have rotted
orange,Go through the orange door
orange,I prefer oranges to apples
orange,Tom drank his orange juice
orange,I'll peel an orange for you
orange,Midori ate the most oranges
orange,These oranges are very sour
orange,These oranges have gone bad
orange,Tom drank some orange juice
orange,"That is not an orange, either"
orange,The oranges cost 7 pence each
orange,These oranges are good to eat
orange,I prefer grapefruit to oranges
orange,Oranges grow in warm countries
orange,Oranges have a lot of vitamins
orange,Tom is wearing an orange shirt
orange,I like apples more than oranges
orange,I prefer grapefruits to oranges
orange,Oranges are sweeter than lemons
orange,They grow oranges in California
orange,Tom drank a glass of orange juice
orange,Take the oranges out of the fridge
orange,The oranges in this bag are rotten
orange,The price of oranges has come down
orange,There are some oranges on the tree
orange,These oranges are ten for a dollar
orange,Peel the orange and give me a piece
orange,There are some oranges on the table
orange,Tom is wearing a reddish-orange tie
orange,"Two glasses of orange juice, please"
orange,Japan imports oranges from California
orange,Oranges are graded by size and quality
orange,"She brought apples, oranges, and so on"
orange,There are a lot of vitamins in oranges
orange,I squeezed the juice out of the oranges
orange,There are plenty of oranges on the tree
orange,He went to the store to buy some oranges
orange,I like fruits such as oranges and apples
orange,She squeezed the juice from many oranges
orange,There's not even one orange on the table
orange,There's orange juice in the refrigerator
orange,Mother bought two bottles of orange juice
orange,She wrung the juice from a lot of oranges
orange,Tom pours himself a glass of orange juice
orange,Tom was wearing an orange prison jumpsuit
orange,The earth is similar to an orange in shape
orange,"They sell apples, oranges, eggs, and so on"
orange,She squeezed the juice from several oranges
orange,The orange left a strange taste in my mouth
orange,The orange didn't taste either sweet or sour
orange,Fresh squeezed orange juice tastes really good
orange,Tom filled the three glasses with orange juice
orange,Tom drinks 100% pure orange juice every morning
orange,Tom took the orange juice out of the refrigerator
orange,They gave him a glass of orange juice laced with vodka
orange,A girl gave me an orange in exchange for a piece of cake
orange,The nurse gave the patient his orange juice through a glass tube
orange,Tom held out his empty glass and Mary filled it with orange juice
orange,"They export a lot of fruit, such as oranges, grapefruits and lemons"
orange,The fruit is similar to an orange in shape and to a pineapple in taste
orange,Tom went to the refrigerator and took out a pitcher of the orange juice
orange,Tom was wearing an orange jumpsuit and his hands were cuffed in front of him
yellow,Bananas are yellow
yellow,It looked yellow to me
yellow,I'll take the yellow one
yellow,Tom owns a yellow sports car
yellow,The door of the office is yellow
yellow,Do you advertise in the Yellow Pages?
yellow,My mother bought my brother a yellow umbrella
yellow,They are yellow
yellow,Yolks are yellow
yellow,Here's a yellow rose
yellow,There's a yellow rose
yellow,This is a yellow rose
yellow,We have yellow apples
yellow,There is a yellow rose
yellow,I love my yellow sweater
yellow,All of the balls are yellow
yellow,There's a yellow rose there
yellow,He lives in the yellow house
yellow,None of the balls are yellow
yellow,Some of the balls are yellow
yellow,A few of the balls are yellow
yellow,He lives in that yellow house
yellow,Look through the yellow pages
yellow,My son's rubber duck is yellow
yellow,In autumn the leaves turn yellow
yellow,Her skirt is yellow with polka dots
yellow,Stay on this side of the yellow line
yellow,The leaves of the tree turned yellow
yellow,Tom took notes on a yellow legal pad
yellow,The garden was full of yellow flowers
yellow,They painted the window frames yellow
yellow,All of the tree's leaves turned yellow
yellow,She's going to sit on the yellow couch
yellow,They painted their house bright yellow
yellow,She's standing next to the yellow house
yellow,The leaves began to turn red and yellow
yellow,All the flowers in the garden are yellow
yellow,All the leaves on the tree turned yellow
yellow,"Apples are usually green, yellow, or red"
yellow,His suit was gray and his tie was yellow
yellow,The girl wore yellow ribbons in her hair
yellow,We saw a lot of yellow butterflies today
yellow,The girl wore a yellow ribbon in her hair
yellow,Blend the blue paint with the yellow paint
yellow,His teeth are yellow from smoking too much
yellow,Mother bought my brother a yellow umbrella
yellow,All the leaves on the tree have turned yellow
yellow,"In the United States, school buses are yellow"
yellow,This flower is yellow and the others are blue
yellow,"Signs that say ""high voltage"" are often yellow"
yellow,Tom picked out a yellow shirt for me to try on
yellow,The garden was full of beautiful yellow flowers
yellow,These green leaves turn red or yellow in autumn
yellow,Tom doesn't usually stop if the light is yellow
yellow,Tom marked a sentence with a yellow highlighter
yellow,Tom nearly died of yellow fever a few years ago
yellow,"The big, yellow bus came hurtling down the street"
yellow,Yellow fever and smallpox were no longer a threat
yellow,There's one black cat sleeping on the yellow chair
yellow,"This flower is yellow, but all the others are blue"
yellow,My mother bought my little brother a yellow umbrella
yellow,Tom contracted yellow fever when he was visiting Africa
yellow,That yellow sweater costs twice as much as this blue one
yellow,Tom looked in the yellow pages to find a used car dealer
green,It's green
green,They're green
green,Green suits you
green,I like green tea
green,It was dark green
green,They're not green
green,I want a green one
green,The light is green
green,Tom has green eyes
green,I have a green shirt
green,I love green peppers
green,Do you drink green tea?
green,He likes green the best
green,She hates green peppers
green,What's this green stuff?
green,We painted the door green
green,We painted the house green
green,I never liked green peppers
green,They painted the fence green
green,Tom doesn't like green beans
green,Tom doesn't like green peppers
green,I don't eat green peppers at all
green,We had Tom paint the fence light green
green,Push the green button and the light will go on
green,She was wearing a green coat with a matching mini-skirt
green,Press the green button
green,Tom looks a little green
green,Green looks good on Alice
green,I painted the fence green
green,The lumber is still green
green,I don't care for green tea
green,The fence is painted green
green,This wall is painted green
green,Tom turned green with envy
green,Miss Green teaches us music
green,She is wearing a green robe
green,Tom hardly ever wears green
green,Miss Green taught me English
green,This tea is called green tea
green,Tom hid behind the green car
green,Tom isn't drinking green tea
green,Green slime oozed out the pipe
green,He painted all the walls green
green,I like green peppers very much
green,I've heard that you don't eat green leafy vegetables
blue,Is it blue?
blue,I like blue
blue,One is blue
blue,They're blue
blue,The sky is blue
blue,Brian looks blue
blue,I have blue eyes
blue,It was dark blue
blue,My eyes are blue
blue,The sky was blue
blue,Her eyes are blue
blue,His eyes are blue
blue,She has blue eyes
blue,Tom had blue eyes
blue,Tom has blue eyes
blue,I was feeling blue
blue,Tom is turning blue
blue,Tom is wearing blue
blue,Tom owns a blue car
blue,Tom's eyes are blue
blue,Tom's lips are blue
blue,Why is the sky blue?
blue,Tom had big blue eyes
blue,He was dressed in blue
blue,She likes blue dresses
blue,Tom has a blue bicycle
blue,Tom has a blue coat on
blue,"Tom has big, blue eyes"
blue,You look great in blue
blue,I painted the gate blue
blue,He wore a light blue tie
blue,Both girls have blue eyes
blue,I enjoy playing the blues
blue,That girl's eyes are blue
blue,Where's my lucky blue cap?
blue,That blue one is also mine
blue,What are these blue things?
blue,Mary wore a pale blue dress
blue,She decided on a blue dress
blue,She is wearing a blue dress
blue,That's a nice shade of blue
blue,Don't touch that blue button
blue,Tom always wears blue shirts
blue,Tom beat Mary black and blue
blue,Tom's favorite color is blue
blue,I painted the roof light blue
blue,That's my favorite blue shirt
blue,There's a nice blue sky today
blue,Sulfur burns with a blue flame
blue,Do you know why the sky is blue?
blue,"If I were you, I'd paint it blue"
blue,Tom thinks Mary looks great in blue
blue,Tom thought you'd prefer a blue one
blue,"If I were you, I would paint it blue"
blue,"We ordered pink, but we received blue"
blue,"In 1853, the first blue jeans came out"
blue,"The French flag is blue, white and red"
blue,"If you mix blue and red, you get violet"
blue,The girl in the blue coat is my daughter
blue,Tom is wearing a blue bandana on his head
blue,"If you mix blue and red, you'll get purple"
blue,Tom was wearing a blue shirt and blue jeans
blue,The girl wearing the blue coat is my daughter
blue,New York City policemen wear dark blue uniforms
blue,Tom's bicycle was blue before he painted it red
blue,Tom is a high school history teacher and a part-time harmonica player in a blues band
blue,She felt blue
blue,The car is blue
blue,The sea is blue
blue,He has blue eyes
blue,Her bike is blue
blue,I have blue eyes
blue,My eyes are blue
blue,The water was blue
blue,Her bicycle is blue
blue,Her sweater is blue
blue,His bicycle is blue
blue,His sweater is blue
blue,Maria has blue eyes
blue,That's a blue house
blue,That is a blue house
blue,He has a blue coat on
blue,I often get the blues
blue,Blue looks good on you
blue,He has large blue eyes
blue,I have the blues today
blue,I like this blue dress
blue,I'm feeling blue today
blue,She has large blue eyes
blue,Tom was dressed in blue
blue,He painted the door blue
blue,That cat really was blue
blue,Tom opened the blue door
blue,He was blue from the cold
blue,I misplaced your blue pen
blue,I really love my blue pen
blue,The blue car is expensive
blue,Tom painted the door blue
blue,Tom wore a dark blue suit
blue,I wonder if Tom likes blue
blue,She wore a dark blue scarf
blue,You look very good in blue
blue,He always wears blue shirts
blue,I study once in a blue moon
blue,She has beautiful blue eyes
blue,She was wearing a blue coat
blue,She wore a plain blue dress
blue,Their flag is blue and gold
blue,He was beaten black and blue
blue,Mary wore a plain blue dress
blue,I always feel blue on Mondays
blue,Mary often wears blue dresses
blue,That red car hit the blue van
blue,Tom handed Mary a blue folder
blue,Tom is beginning to turn blue
blue,Tom was beaten black and blue
blue,"When it rains, she feels blue"
blue,He has blue eyes and fair hair
blue,She looks blue for some reason
blue,He has blue eyes and blond hair
blue,I only come once in a blue moon
blue,I'm feeling a little blue today
blue,My whole body is black and blue
blue,My wife is wearing a blue dress
blue,She's wearing a light blue suit
blue,The girl with blue eyes is Jane
blue,You are very attractive in blue
blue,He couldn't tell green from blue
blue,Mary decided to buy a blue dress
blue,The water was calm and very blue
blue,This blue sweater is very pretty
blue,Tom has brown hair and blue eyes
blue,Tom is wearing a nice blue shirt
blue,Go out and look at the blue skies
blue,His car was blue and hers was red
blue,His car was blue
blue,The blue roses are very beautiful
blue,The girl wore a light blue kimono
blue,Tom is wearing a faded blue shirt
blue,Tom's face was all black and blue
blue,Be very careful with that blue box
blue,I go to church once in a blue moon
blue,It was like a bolt out of the blue
blue,Police officers wear blue uniforms
blue,Tom painted the ceiling light blue
blue,What impressed me was the blue sky
blue,That blue dress suits you very well
blue,Tom is the man wearing the blue tie
blue,His blue coat was dirty and wrinkled
blue,She inherited her mother's blue eyes
blue,Tom was wearing a blue hospital gown
blue,He was eager to try on the blue shirt
blue,My daughter was in a light blue dress
blue,Put a blue border around this picture
blue,Tom has wavy brown hair and blue eyes
blue,Blue lines on the map designate rivers
blue,Her blue shoes go well with that dress
blue,Her blue shoes go well with that skirt
blue,I eat Chinese food once in a blue moon
blue,I prefer the blue one over the red one
blue,I saw Tom getting into a dark blue van
blue,Tom told me I didn't look good in blue
blue,Blend the red paint with the blue paint
blue,Her dress is blue with white polka dots
blue,His hands were blue because of the cold
blue,I had a call from James out of the blue
blue,That girl is a true blue country singer
blue,"The French flag is blue, white, and red"
blue,Tom was wearing a faded blue work shirt
blue,I go to a restaurant once in a blue moon
blue,Tom said he wanted to buy a blue sweater
blue,Tom's least favorite color is blue-green
blue,Mary was wearing a knee-length blue dress
blue,She cheered me up when I was feeling blue
blue,I like the blue one
blue,My shirt is red and my shoes are dark blue
blue,The blue lines on the map designate rivers
blue,The blue lines on the map represent rivers
blue,Tom noticed a dark blue car parked outside
blue,Many Germans have blonde hair and blue eyes
blue,She selected a blue dress from the wardrobe
blue,That child wanted to try on that blue shirt
blue,Tom often wears blue jeans and a blue shirt
blue,Tom only comes to visit once in a blue moon
blue,"I want a blue pen, a red one and a black one"
blue,Two high school boys beat Tom black and blue
blue,I don't remember if Tom's car was blue or not
blue,I like the red dress more than the blue dress
blue,"I'm looking for a navy blue raincoat, size 36"
blue,"If you mix blue and red, the result is purple"
blue,The blue sports car came to a screeching halt
blue,This flower is yellow and the others are blue
blue,Every house on our street was blue except ours
blue,One of her cars is blue and the others are red
blue,She had a blue dress on at the party yesterday
blue,She suggested that the customer buy a blue tie
blue,He thinks that blue is the most beautiful color
blue,Tom suggested that I paint my room a light blue
blue,Tom usually wears blue slippers around the house
blue,"Yesterday, Mary gave me a book with a blue cover"
blue,A green carpet will not go with this blue curtain
blue,"I want to find a blonde, blue-eyed European woman"
blue,The sky today is the bluest that I've ever seen it
blue,"This flower is yellow, but all the others are blue"
blue,We changed the color of our house from tan to blue
blue,Jeans manufacturers make denim bluer with indigo dye
blue,One of her three cars is blue and the others are red
blue,The blue sky fooled me so I didn't bring an umbrella
blue,A green carpet won't go well with these blue curtains
blue,Tom spilled the can of blue paint on the white carpet
blue,One of her three cars is blue and the others are white
blue,I was about to leave when Mary appeared out of the blue
blue,"The colors of the American flag are red, white and blue"
blue,That yellow sweater costs twice as much as this blue one
blue,I don't know if her new shirt will go with her blue jeans
blue,"As his lips got bluer, I nervously waited for the ambulance"
blue,The news of her sudden death came like a bolt from the blue
blue,The blue of her eyes stands out against her rather dark skin
blue,Tom wondered what would happen if he pressed the blue button
blue,Some of the bluest water in the world is found in Crater Lake
blue,Tom exchanged the red shirt Mary had given him for a blue one
blue,Tom wasn't sure whether to press the red button or the blue one
blue,"We found a beautiful, blue lagoon on the far side of the island"
blue,Scientists have come up with many explanations for why the sky is blue
blue,"A blue suit, white shirt and red tie are essential for all male workers"
blue,"You can talk until you're blue in the face, but you'll never convince me"
blue,"Aya likes intense colors, such as hot pink, electric blue and deep purple"
blue,Yesterday a friend of mine that I hadn't seen in years gave me a call out of the blue asking to borrow money
blue,Blues singer and guitarist Robert Johnson would have been 100 years old on May 8th of 2011 if he hadn't died when he was 27 years old
purple,What's this purple stain?
purple,I like the gray sweater more than the purple one
purple,His socks are purple
purple,My sweater is purple
purple,Her sweater is purple
purple,She wants a purple coat
purple,I like that purple shirt
purple,The color is purple rather than pink
purple,The bottle Tom was holding had a purple label
purple,A purple carpet will not go with this red curtain
purple,"Aya likes intense colors, such as hot pink, electric blue and deep purple"
black,It was black
black,I blacked out
black,I blacked out
black,Isn't it black?
black,Tom blacked out
black,It's pitch black
black,The cat is black
black,I have a black eye
black,Tom has black hair
black,I drive a black car
black,Tom has a black cat
black,Tom has a black dog
black,Tom has a black eye
black,Tom wore black pants
black,Everything went black
black,Tom keeps a black cat
black,Do you like black cats?
black,I saw a woman in black
black,That black one is mine
black,Tom always wears black
black,Tom put on a black wig
black,You've got a black eye
black,I drink my coffee black
black,I must have blacked out
black,Is that black bag yours?
black,Tom dyed his hair black
black,Tom gave me a black eye
black,Where's your black suit?
black,I don't own a black suit
black,It's pitch black outside
black,That boy's hair is black
black,It was pitch black outside
black,Tom likes his coffee black
black,She was wearing a black hat
black,Tom was wearing a black hat
black,Who gave Tom that black eye?
black,Tom was dressed all in black
black,"Tom drives a black car, right?"
black,I have brown eyes and black hair
black,It's pitch black in the basement
black,It's pitch black inside the cave
black,Tom likes Mary's long black hair
black,"I want brown shoes, not black ones"
black,It's no longer pitch black outside
black,"Tom drives a black car, doesn't he?"
black,Do you still drink your coffee black?
black,Tom is the black sheep of the family
black,Tom said nothing about Mary's black eye
black,Tom is wearing glasses with black frames
black,She was dressed in black
black,Tom was dressed in black
black,Black cloth absorbs light
black,Black hens lay white eggs
black,I'll take my coffee black
black,She has a small black dog
black,She's wearing a black hat
black,The night was pitch black
black,Tom gave Mary a black eye
black,Tom practices black magic
black,A crow is as black as coal
black,I'm a black belt in karate
black,Look at those black clouds
black,Tom is wearing a black hat
black,You look fabulous in black
black,Dogs see in black and white
black,He hid behind the black car
black,I see a woman wearing black
black,She always dresses in black
black,The suspect is a black male
black,Tom always dresses in black
black,Tom had his hair dyed black
black,A black and white dog bit me
black,He was beaten black and blue
black,I have a black and white dog
black,She was dressed all in black
black,The basement was pitch black
black,Tom only wears black clothes
black,Everyone was dressed in black
black,He's attracted to black women
black,I have a black dog named Tiki
black,Mary is wearing a black dress
black,Mary was wearing a black robe
black,Mary's bikini bottom is black
black,Tom is dressed in black today
black,Tom is wearing a black fedora
black,Tom was beaten black and blue
black,All of them were wearing black
black,She is always dressed in black
black,The widow was dressed in black
black,Tom has a black belt in karate
black,Tom wears black-rimmed glasses
black,We are in the black this month
black,Mary is wearing a black leotard
black,My whole body is black and blue
black,"Suddenly, everything went black"
black,This young woman has black hair
black,Asians generally have black hair
black,Blackboards are not always black
black,Mary looks good in a black dress
black,The Klan often terrorized blacks
black,They fed a black and a white dog
black,Tom drives a black pick-up truck
black,Tom seldom wears his black shirt
black,I'm the black sheep of the family
black,Not everything is black and white
black,The picture is in black and white
black,Tom and Mary both have black hair
black,Tom's face was all black and blue
black,I have a black dog and a white dog
black,I'd like to see that in black and white
black,That publishing company is in the black
black,The doctor came in carrying a black bag
black,"This blackboard is not black, but green"
black,Tom put on his black suit and white tie
black,A black car stopped next to the hospital
black,His black coat blended into the darkness
black,Tom said he wanted to dye his hair black
black,He bought a pair of black shoes yesterday
black,Tom got into the black van and drove away
black,Tom bought some things on the black market
black,A black SUV pulled up in front of the hotel
black,Black and white photos have a special charm
black,Napoleon Bonaparte was afraid of black cats
black,She is very becoming in a black party dress
black,Some photos were printed in black and white
black,Tim is the black sheep of the Jones' family
black,Tom really wanted a cup of hot black coffee
black,"We have three dogs, one white and two black"
black,"I want a blue pen, a red one and a black one"
black,It is traditional to wear black to a funeral
black,"One of the cats is black, the other is brown"
black,She has been dyeing her hair black for years
black,Two high school boys beat Tom black and blue
black,Black clouds announced the coming thunderstorm
black,I bought the black bike instead of the red one
black,I don't believe that black cats cause bad luck
black,There is a black BMW parked in front of your house
black,There's one black cat sleeping on the yellow chair
black,Tom was dressed in black and wore a black ski mask
pink,My notebook is pink
pink,Tom was tickled pink
pink,Here's my pink notebook
pink,Pink roses are beautiful
pink,She painted the wall pink
pink,Pink is not just for girls
pink,What's wrong with wearing pink?
pink,Who is the girl in the pink dress?
pink,"We ordered pink, but we received blue"
pink,Tom can't remember where he bought his pink socks
pink,He is in the pink
pink,He's tickled pink
pink,Pink is for girls
pink,My notebook is pink
pink,Her face become pink
pink,I like pink grapefruit
pink,Paulina has a pink cap
pink,Mary wore a pink blouse
pink,You look pretty in pink
pink,The pink pillow is clean
pink,He drives a pink Cadillac
pink,Tom painted the wall pink
pink,The color is purple rather than pink
pink,Tom will be tickled pink when he sees you
pink,Tom says he can't wear a pink shirt to work
pink,She picked out a pink shirt for me to try on
pink,The tall man wore a pink carnation in his lapel
pink,Tom took a bottle of pink pills out of his pocket
pink,There was a pink slip waiting for her at the office
pink,Mary walked through the living room in her pink robe
pink,Mary was wearing a pink blouse with matching miniskirt
pink,The boss called Jim into his office and gave him his pink slip
pink,"Aya likes intense colors, such as hot pink, electric blue and deep purple"
pink,"I'd describe him as a middle-aged man in a yellow jacket, orange tie and a pink shirt"
lime,Lemons and limes are acidic fruits
lime,The woman downed the gin and lime that was served in one swallow
lime,It would be nice if you had a wedge of lime I could squeeze into my icewater
gray,My suit is gray
gray,The sky was gray
gray,Tom has gray hair
gray,Tom is turning gray
gray,My hair's turned gray
gray,Tom's hair is turning gray
gray,That gray-haired man is Tom's father
gray,I like the gray sweater more than the purple one
